p_id,torwatch,torwarn,rec_all,rec_most,rec_soon,rec_sleep,rec_driving,rec_work,rec_store,rec_small_group,rec_large_group,rec_morn,rec_aft,rec_eve,alert_und,tor_watchwarn_und,tor_map_und,tor_radar_und,svr_watchwarn_und,und_morn,und_aft,und_eve,warn_time,warn_time_minutes,watch_time,watch_time_hours,warn_size,watch_size,resp_prot,resp_sleep,resp_driving,resp_work,resp_store,resp_small_group,resp_large_group,resp_morn,resp_aft,resp_eve,gend,age,hisp,race,nws_region,WARNING_AVG,weightfactor
EPO785DRY55P9QH4M2,NA,2,2,3,4,1,4,4,1,4,4,2,4,3,5,3,5,5,4,5,4,4,2,NA,2,3,3,3,4,4,4,4,4,4,4,3,4,4,1,64,0,2,Eastern Region,1.8333333333333333,0.655252
EPO785DVM53Q35B4M1,1,NA,4,3,4,2,2,4,3,3,4,3,3,4,4,3,3,2,2,3,4,3,2,NA,1,NA,1,1,3,4,4,5,4,4,4,3,2,3,1,60,0,2,Southern Region,67.83333333333333,0.556676
EPO785DWVG677ZF4M9,2,NA,3,4,3,3,3,4,3,4,4,3,4,4,5,4,5,5,4,3,4,4,1,30,1,NA,1,1,3,3,3,3,3,3,3,3,4,4,1,70,1,1,Southern Region,49.166666666666664,0.296656
EPO785FDCN7MTFP4M9,NA,2,4,5,3,2,1,3,2,3,4,3,5,3,5,NA,NA,NA,3,3,5,5,1,50,2,20,2,3,4,2,3,4,4,5,4,4,5,4,0,22,0,1,Southern Region,49.166666666666664,0.50067
EPO785FGTRRGJY94M3,1,NA,3,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,4,3,4,3,3,NA,4,NA,1,20,2,2,2,2,5,2,4,3,3,4,3,4,4,NA,1,60,1,7,Western Region,0.3333333333333333,0.669146
EPO785FGXGRMVZ64M3,1,NA,4,5,5,2,5,5,3,5,5,5,2,4,4,3,2,3,4,5,4,NA,2,NA,4,NA,3,3,4,2,3,4,5,5,5,4,2,3,0,66,0,2,Eastern Region,17.333333333333332,0.383366
EPO785GGRNZ6ZCZ4M9,1,NA,5,4,5,5,5,4,4,5,4,5,5,5,5,5,5,4,5,4,5,5,3,NA,3,NA,4,3,5,5,5,4,5,4,3,4,5,4,1,34,0,1,Eastern Region,12.833333333333334,0.599669
EPO785HXQRG3X9R4M9,1,NA,3,4,4,2,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,1,25,2,3,3,3,5,2,4,4,4,4,4,5,5,4,1,33,0,2,Southern Region,48.5,1.268936
EPO785J5TMCPWTK4M4,1,NA,3,3,4,3,4,3,3,5,5,5,3,4,4,4,5,4,3,4,5,4,3,NA,NA,NA,4,4,5,5,5,4,3,4,5,3,4,2,1,34,0,1,Western Region,0.16666666666666666,0.437077
EPO785J7GJLK8R34M2,NA,1,2,2,1,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,NA,4,NA,1,1,5,4,5,4,4,5,5,5,5,5,0,42,1,1,Southern Region,49.166666666666664,0.761505
EPO785J87K96N644M8,1,NA,5,4,4,2,2,3,2,3,2,2,3,4,4,2,3,2,2,3,3,3,2,NA,2,12,3,3,2,2,2,2,2,2,2,2,2,2,0,73,0,2,Western Region,0.3333333333333333,0.100101
EPO785JC7YH6DKD4M5,NA,2,2,3,3,2,3,4,2,3,3,3,3,3,4,NA,3,2,3,3,3,4,2,NA,2,8,4,2,NA,3,3,3,4,3,4,3,3,3,1,84,0,2,Eastern Region,1.8333333333333333,0.887297
EPO785JVXDX8VHQ4M0,1,NA,4,4,3,3,4,4,3,4,4,3,4,4,4,3,3,3,3,4,4,4,2,NA,2,2,2,3,4,3,4,4,3,3,3,4,4,4,1,65,0,2,Eastern Region,18.833333333333332,0.493179
EPO785KGFVB9Z8B4M3,1,NA,2,3,2,NA,NA,NA,NA,NA,NA,1,3,3,2,1,3,3,2,2,2,2,3,NA,4,NA,3,3,2,2,2,2,2,2,2,2,2,2,0,21,0,1,Eastern Region,0.5,0.419227
EPO785KH6Q4K6L54M3,1,NA,5,5,5,3,2,4,2,3,3,5,5,5,4,2,2,2,2,4,5,5,1,15,2,1,2,2,4,5,5,5,5,5,5,5,5,5,0,47,1,1,Eastern Region,24.166666666666668,0.496044
