survey_year,age,survey_hazard,"Broadcast
radio","Weather
radio",Television,"Internet
websites","Social
media","Friends,
family","Phone
notifications",Sirens,weightfactor
2017,54,WX,5,5,5,5,5,5,5,5,0.221856
2017,65,WX,3,5,4,3,3,3,4,4,0.65467
2017,50,WX,3,3,5,3,1,2,4,5,1.175045
2017,34,WX,3,3,4,1,1,1,5,2,1.086604
2017,66,WX,1,2,4,1,1,2,1,3,0.419174
2017,64,WX,1,1,5,1,1,5,5,2,0.891744
2017,60,WX,4,5,5,3,1,3,3,5,0.912746
2017,48,WX,1,3,5,3,1,3,1,5,0.946634
2017,34,WX,3,3,3,3,3,3,3,3,0.898161
2017,66,WX,3,3,5,3,1,2,2,3,0.65467
2017,48,WX,4,4,5,5,5,3,5,5,0.863402
2017,59,WX,1,1,3,4,2,1,1,1,0.901934
2017,67,WX,3,5,5,5,2,2,2,1,1.133361
2017,71,WX,4,4,4,4,4,4,4,4,0.390121
2017,61,WX,4,4,4,4,3,3,3,4,0.880582
2017,71,WX,3,3,5,1,1,4,3,5,1.294332
2017,68,WX,5,5,5,4,5,3,5,5,0.774454
2017,32,WX,3,3,3,3,3,3,3,3,0.798854
2017,58,WX,3,5,4,4,1,5,4,5,0.763112
2017,66,WX,4,5,4,3,1,3,1,2,0.413876
2017,65,WX,4,5,5,5,3,3,5,5,1.123528
2017,24,WX,3,3,3,3,3,1,3,3,0.214717
2017,72,WX,1,1,3,1,1,3,1,3,0.056432
2017,41,WX,4,4,4,3,2,4,4,5,1.140966
2017,69,WX,5,1,3,3,1,1,4,4,0.413876
2017,54,WX,5,5,5,5,5,5,5,5,0.510234
2017,60,WX,3,4,4,4,1,3,3,1,0.82161
2017,70,WX,3,5,4,3,1,2,3,1,0.706575
2017,52,WX,3,1,5,4,1,3,2,2,2.018998
2017,58,WX,5,5,5,3,3,4,4,3,0.855202
2017,55,WX,1,1,5,1,1,1,1,5,0.140614
2017,65,WX,3,3,4,3,1,1,1,3,0.675907
2017,83,WX,1,2,3,2,1,2,3,1,2.120231
2017,72,WX,2,1,4,2,1,2,1,4,0.415552
2017,66,WX,1,1,4,2,1,3,2,3,0.413876
2017,60,WX,4,3,4,5,1,2,3,5,0.533614
2017,61,WX,4,5,4,3,1,1,3,5,1.148284
2017,63,WX,4,1,5,4,3,3,5,5,0.82161
2017,60,WX,4,4,4,4,2,2,2,1,1.148284
2017,69,WX,1,1,2,2,1,1,2,1,0.413876
2017,63,WX,3,4,3,3,2,2,4,5,0.729109
2017,35,WX,5,1,5,3,2,3,5,3,0.035363
2017,63,WX,4,4,4,3,2,3,3,5,0.82161
2017,30,WX,1,1,1,1,1,2,1,1,1.049787
2017,27,WX,1,1,1,3,1,1,1,1,1.39462
2017,62,WX,4,4,4,4,1,4,4,5,0.699624
2017,41,WX,2,1,2,1,1,1,1,1,1.315399
2017,61,WX,1,5,3,3,1,1,4,4,0.82161
2017,71,WX,4,4,4,3,1,4,4,4,0.706575
2017,76,WX,3,3,3,3,2,1,3,3,0.878311
2017,53,WX,2,1,5,4,1,2,1,5,1.046124
2017,66,WX,3,3,3,3,3,3,3,3,0.675907
2017,50,WX,3,4,3,3,1,3,3,4,1.046124
2017,39,WX,1,1,5,1,1,1,5,5,0.301494
2017,67,WX,1,1,2,1,1,2,4,1,1.133361
2017,58,WX,3,3,4,3,3,3,3,4,0.675407
2017,77,WX,2,2,4,2,1,3,2,3,0.683509
2017,78,WX,3,1,5,3,1,2,1,1,1.531639
2017,75,WX,2,1,4,1,1,3,4,3,1.529702
2017,68,WX,4,4,4,3,3,4,4,5,0.969481
2017,67,WX,3,3,3,3,1,1,1,1,0.976731
2017,66,WX,4,1,4,4,1,2,4,3,0.65467
2017,60,WX,3,1,2,5,1,1,5,1,0.533614
2017,48,WX,3,1,2,1,1,2,4,3,2.203002
2017,65,WX,2,3,2,1,1,2,1,2,0.976731
2017,59,WX,1,1,5,3,1,1,1,1,0.675407
2017,55,WX,4,3,4,3,2,3,4,4,0.675407
2017,37,WX,1,4,4,3,2,4,3,4,1.226685
2017,65,WX,2,4,3,3,2,3,4,4,0.675907
2017,72,WX,3,5,5,4,2,5,5,5,1.080394
2017,65,WX,3,4,3,4,2,1,3,3,1.133361
2017,36,WX,1,1,4,1,1,3,4,4,1.032992
2017,63,WX,4,3,4,4,1,4,3,4,0.82161
2017,57,WX,5,5,5,1,1,2,1,3,1.415151
2017,61,WX,4,4,4,4,3,2,3,2,0.82161
2017,32,WX,3,4,3,3,2,3,2,3,0.700963
2017,67,WX,3,2,5,3,1,3,5,4,0.969481
2017,69,WX,1,5,5,5,1,5,1,5,1.100415
2017,58,WX,2,1,3,2,1,1,4,1,0.675407
2017,74,WX,3,1,3,2,3,1,2,4,0.491409
2017,51,WX,4,4,4,2,1,2,3,4,1.342502
2017,65,WX,1,1,4,1,1,1,1,2,0.65467
2017,36,WX,5,5,5,5,1,3,5,5,0.39467
2017,72,WX,5,5,5,5,3,5,5,5,0.485153
2017,72,WX,5,1,5,4,1,3,2,4,1.294332
2017,56,WX,3,3,3,2,1,1,3,1,0.443038
2017,67,WX,2,1,3,5,1,2,2,1,0.413876
2017,69,WX,5,5,5,5,5,5,5,5,0.774454
2017,50,WX,3,5,5,4,1,2,5,3,1.014784
2017,48,WX,4,4,3,4,3,3,4,4,0.946634
2017,60,WX,5,5,3,5,2,5,5,5,0.82161
2017,58,WX,1,4,4,2,1,4,3,3,0.763112
2017,57,WX,4,5,4,5,2,3,4,5,1.074664
2017,67,WX,5,5,5,5,1,3,3,5,0.969481
2017,26,WX,3,4,4,4,1,3,4,3,0.900814
2017,42,WX,2,2,4,5,3,3,3,1,1.140966
2017,23,WX,3,4,4,3,3,2,4,3,1.466786
2017,48,WX,3,4,5,3,3,2,5,5,0.863402
2017,33,WX,5,5,5,5,5,5,5,5,0.7879
2017,59,WX,5,5,5,5,3,3,4,5,0.547932
2017,62,WX,2,3,2,1,1,3,1,5,0.683384
2017,38,WX,1,1,1,1,1,5,1,1,0.888941
2017,55,WX,1,1,4,3,1,1,5,5,0.763112
2017,46,WX,4,1,4,4,3,1,3,4,2.534424
2017,59,WX,3,3,5,2,2,4,5,5,0.901934
2017,43,WX,3,3,3,4,3,3,3,3,2.254608
2017,61,WX,4,4,4,3,1,3,4,4,0.759784
2017,63,WX,3,3,3,2,1,3,3,3,0.61908
2017,64,WX,4,4,3,3,1,3,3,1,0.683384
2017,63,WX,1,1,4,2,4,3,1,1,0.683384
2017,38,WX,3,2,5,3,4,4,4,4,0.961587
2017,58,WX,3,3,3,3,3,3,3,3,0.901934
2017,59,WX,2,1,5,1,1,5,2,5,0.763112
2017,43,WX,3,3,5,3,1,2,1,2,0.629605
2017,63,WX,1,5,4,4,2,3,4,4,0.683384
2017,52,WX,4,4,4,5,2,2,3,5,4.24492
2017,31,WX,1,1,2,2,1,2,3,1,0.168028
2017,42,WX,1,4,4,2,3,1,1,3,1.11798
2017,56,WX,1,1,5,1,1,1,1,1,0.683553
2017,29,WX,3,3,3,3,3,2,3,3,0.965867
2017,69,WX,1,1,5,1,1,3,5,1,0.885167
2017,24,WX,2,2,2,2,2,4,1,1,1.29038
2017,32,WX,1,1,1,4,3,1,3,2,0.851286
2017,55,WX,5,5,5,5,4,4,5,5,0.359996
2017,50,WX,3,3,3,3,3,3,3,3,1.51277
2017,23,WX,3,3,4,3,2,3,3,4,0.337483
2017,66,WX,5,1,5,2,1,2,1,1,0.407141
2017,65,WX,3,5,4,2,1,1,1,3,0.65467
2017,38,WX,5,5,5,1,1,2,5,5,0.566319
2017,43,WX,3,3,3,3,2,3,2,4,1.488057
2017,61,WX,2,1,1,2,1,1,1,1,0.880582
2017,56,WX,4,4,3,3,2,4,3,1,0.51039
2017,53,WX,5,5,3,2,1,1,4,5,1.478245
2017,67,WX,5,5,5,5,5,4,5,5,0.413876
2017,64,WX,1,3,3,1,3,3,3,3,0.880582
2017,49,WX,3,3,3,1,1,2,4,5,1.010694
2017,54,WX,2,2,2,2,2,3,2,2,1.860611
2017,77,WX,3,4,4,3,1,4,4,4,0.683509
2017,73,WX,3,4,4,2,2,4,2,3,0.718257
2017,19,WX,4,2,5,5,5,3,2,3,0.634153
2017,33,WX,4,4,4,4,3,3,4,4,0.809504
2017,58,WX,5,5,4,1,1,5,1,1,0.51039
2017,26,WX,3,4,3,4,2,2,3,3,2.078285
2017,57,WX,4,4,4,4,4,4,4,4,3.808775
2017,71,WX,3,3,3,3,1,3,3,3,0.491409
2017,65,WX,4,2,1,1,1,3,3,1,0.65467
2017,63,WX,1,1,4,3,2,3,1,1,0.264213
2017,82,WX,3,4,3,3,1,1,2,2,1.076762
