p_id,long,lat,end_datetime,age,gender,education,race,income,storm_system,storm_rec_warn,rec_subscribe,wthr_info_web,wthr_info_govweb,wthr_info_loctv,wthr_info_cabtv,wthr_info_radio,wthr_info_fam,wthr_info_soc,wthr_info_phone
R2NM17767,-98.915423,35.551514,1466120877,91,0,4,1,6.00E+04,1,1,Disagree,About once a day,About once a day,Several times a day,About once a day,About once a day,About once a day,Never,Never
R2NM18016,-97.376951,35.194218,1465428858,73,0,8,1,9.00E+04,2,1,Strongly disagree,Never,Several times a day,Never,Never,Never,Less than once per week,Never,Never
R2NM18038,-97.408792,35.224393,1465865805,33,1,5,6,6.30E+04,2,1,Agree,Less than once per week,About once per week,Several times per week,Never,Never,Less than once per week,Less than once per week,Less than once per week
R2NM18076,-97.60645,35.53639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM18168,-99.66966,35.60938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM18219,-95.905319,36.758324,1466717323,58,1,6,1,1.30E+05,2,0,Strongly disagree,Several times per week,Less than once per week,Less than once per week,Never,Never,Less than once per week,Never,About once per week
R2NM18247,-95.799856,36.26947,1465743971,52,1,8,1,1.25E+05,1,NA,Agree,Less than once per week,Never,Never,Never,About once per week,Never,Never,Never
R2NM18272,-95.942118,36.157101,1466730927,57,1,6,1,1.00E+05,1,1,Neither agree nor disagree,Never,Never,Several times per week,Never,About once a day,Never,Never,Less than once per week
R2NM18455,-97.740942,35.464978,1465500675,73,1,5,1,5.00E+04,1,NA,Strongly agree,About once a day,Several times a day,Several times a day,About once a day,Never,Never,Never,Never
R2NM18709,-95.30959,35.535843,1466696786,47,0,5,1,8.00E+04,1,1,Strongly agree,Less than once per week,Never,Several times a day,Never,Less than once per week,About once per week,About once a day,About once a day
R2NM18715,-95.58257,35.286131,1465415343,59,1,7,1,7.50E+04,1,1,Strongly agree,Several times per week,Several times per week,About once a day,Never,About once per week,Several times a day,Never,Less than once per week
R2NM18837,-97.397193,35.21519,1466221617,34,1,7,1,1.01E+05,2,1,Strongly agree,Less than once per week,Less than once per week,Several times per week,Less than once per week,Never,Less than once per week,Never,Several times a day
R2NM18839,-97.471004,35.330107,1467806310,44,0,3,1,2.70E+04,2,2,Agree,Several times per week,NA,About once a day,NA,About once a day,About once per week,About once a day,NA
R2NM18890,-97.47031,35.32839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM18909,-97.527474,34.124441,1467062074,49,0,6,1,3.50E+05,2,0,Agree,Less than once per week,Never,About once a day,About once per week,Several times a day,Less than once per week,Never,About once a day
R2NM18957,-99.008359,34.39146,1465404746,59,0,4,1,5.50E+04,1,NA,Strongly disagree,About once per week,Less than once per week,About once per week,Less than once per week,Never,Several times per week,Never,Never
R2NM18967,-98.960968,35.576573,1467164628,41,1,2,1,2.80E+04,1,NA,Disagree,Less than once per week,Less than once per week,Never,Never,Less than once per week,About once per week,Never,About once per week
R2NM19045,-95.910682,36.350528,1465569800,44,0,4,3,1.03E+05,1,NA,Strongly agree,Less than once per week,Less than once per week,Several times a day,Never,Several times a day,About once per week,Never,About once a day
R2NM19088,-96.029557,36.055293,1465397222,72,1,5,1,2.00E+04,1,NA,Strongly disagree,NA,NA,About once a day,About once a day,NA,NA,NA,NA
R2NM19124,-94.921886,35.867588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM19135,-95.71582,34.92559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM19219,-97.470809,35.66583,1469156114,32,0,6,2,3.20E+04,2,NA,Somewhat agree,Never,Several times per week,About once a day,Less than once per week,Several times per week,About once per week,About once per week,Less than once per week
R2NM19239,-97.503652,35.222363,1467297172,69,1,8,1,1.37E+05,1,NA,Strongly disagree,Less than once per week,Never,Less than once per week,Less than once per week,About once a day,Never,Never,Never
R2NM19307,-97.152059,33.87907,1465397003,45,1,6,1,1.10E+05,2,NA,Neither agree nor disagree,Several times per week,Several times per week,Several times per week,Less than once per week,About once per week,About once per week,Never,Several times per week
r2nm19343,-99.20852,34.78311,1465397600,53,1,7,1,1.00E+05,1,NA,Strongly agree,Never,Never,Never,Never,Never,About once a day,Never,About once a day
R2NM1957,-96.470811,34.025883,1465409274,67,1,2,1,6.00E+04,2,1,Disagree,About once a day,Several times per week,About once a day,About once per week,About once per week,Less than once per week,Never,About once a day
R2NM19883,-95.99108,36.1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM20016,-97.335939,35.287382,1467231382,67,0,4,1,5.00E+04,2,1,Agree,Less than once per week,Less than once per week,About once a day,Never,Less than once per week,Never,Never,Less than once per week
R2NM20055,-97.734752,35.487623,1465488696,67,1,6,1,5.50E+04,1,1,Agree,About once a day,NA,About once a day,NA,NA,NA,NA,About once a day
R2NM20139,-99.341009,34.653834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM20557,-99.01465,34.38307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM20568,-99.765654,35.53799,1465402826,31,0,2,1,7.00E+04,1,NA,Agree,Less than once per week,About once per week,Several times per week,Several times per week,Less than once per week,About once per week,Several times a day,About once a day
R2NM20630,-95.606167,36.328181,1465416551,48,0,6,1,4.50E+04,1,1,Strongly disagree,Less than once per week,Less than once per week,Several times per week,Never,About once per week,About once per week,Less than once per week,Never
R2NM20666,-97.046272,36.122458,1468431649,45,1,7,1,73070,2,1,Strongly disagree,Less than once per week,Several times per week,Less than once per week,Never,About once a day,Several times per week,Less than once per week,Never
R2NM20843,-97.28672,36.29342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM20854,-97.682356,35.606921,1465915683,55,0,4,1,NA,1,0,Agree,About once a day,Less than once per week,Several times a day,About once per week,About once a day,About once a day,Less than once per week,About once a day
R2NM21070,-96.908026,36.15135,1466051100,62,0,4,1,6.80E+04,2,0,Strongly agree,Several times per week,About once a day,About once a day,Never,Several times a day,Never,Never,About once a day
R2NM21090,-95.893817,36.030255,1466109789,57,0,4,1,1.20E+05,1,NA,Agree,About once a day,Less than once per week,Several times per week,Never,Less than once per week,Less than once per week,Several times per week,Less than once per week
R2NM21130,-95.602414,34.234267,1467256273,49,0,8,1,4.50E+05,1,0,Strongly disagree,About once per week,Less than once per week,About once a day,About once a day,Less than once per week,About once a day,About once per week,Never
R2NM21185,-96.67188,35.34661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2NM21236,-97.414568,35.203901,1465397698,27,1,7,1,1.80E+04,2,1,Strongly agree,Less than once per week,Never,About once per week,Never,Never,Several times per week,Less than once per week,About once a day
R2NM21276,-97.65736,35.48913,1467139631,34,0,7,1,9.00E+04,2,0,Strongly disagree,About once per week,Less than once per week,Several times per week,Never,About once a day,Several times per week,About once per week,Several times a day
R2NM21429,-95.685978,36.062181,1466612488,43,0,7,1,6.50E+04,1,NA,Strongly agree,Several times a day,Less than once per week,About once per week,Never,About once a day,Several times per week,Several times per week,About once per week
R2NM21476,-96.005737,36.13364,1465518709,54,1,3,1,5.20E+04,1,1,Strongly disagree,Several times per week,NA,Several times a day,Never,Never,Less than once per week,Several times per week,Several times per week
R2NM21571,-96.72259,34.76159,1465435848,32,0,5,1,3.60E+04,1,2,Strongly disagree,Several times a day,Less than once per week,About once per week,About once per week,Several times a day,Several times a day,Several times per week,Several times a day
