CWA,MALE,AGE_GROUP,HISP,RACE_GROUP,DEMGRP_POP,TOT_POP,DEMGRP_PROP,CWA_REGION,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
ABQ,0,1,0,1,60775,1299999,0.04675003596156613,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,1,0,2,3603,1299999,0.0027715405934927643,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,1,0,3,35518,1299999,0.027321559478122676,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,1,1,1,96864,1299999,0.07451082654678966,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,1,1,2,2009,1299999,0.0015453858041429263,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,1,1,3,8434,1299999,0.006487697298228691,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,2,0,1,101777,1299999,0.07829006022312325,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,2,0,2,3934,1299999,0.0030261561739662875,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,2,0,3,36464,1299999,0.02804925234557873,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,2,1,1,104352,1299999,0.0802708309775623,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,2,1,2,1482,1299999,0.0011400008769237515,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,2,1,3,6674,1299999,0.005133850102961618,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,3,0,1,114772,1299999,0.08828622175863213,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,3,0,2,2547,1299999,0.0019592322763325202,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,3,0,3,19281,1299999,0.014831549870422978,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,3,1,1,61692,1299999,0.047455421119554704,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,3,1,2,373,1299999,2.869232976333059e-4,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,0,3,1,3,2606,1299999,0.002004616926628405,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,1,1,0,1,66312,1299999,0.05100927000713078,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,1,1,0,2,5175,1299999,0.003980772292901764,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,1,1,0,3,35493,1299999,0.027302328694098994,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,1,1,1,1,101287,1299999,0.07791313685625913,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,1,1,1,2,1969,1299999,0.0015146165497050383,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,1,1,1,3,8825,1299999,0.0067884667603590465,SR,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
