age,gend,hisp,race,nws_region,spc_rand,spc_risk_perc,spc_resp_perc,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom
70,1,0,4,Central Region,A SLIGHT RISK (LEVEL 2 of 5),50,60,100,5,10,5,5,6,59
71,1,0,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),70,40,701,1,1,30,3,10,20
73,1,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),15,0,500,10,0.01,1,25,35,20
25,1,0,2,Eastern Region,A LEVEL 2 of 5 RISK,50,50,500,10,1,15,40,8,5
25,1,0,2,Eastern Region,A MODERATE RISK,80,90,400,100,100,40,30,50,40
70,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),10,10,500,10,1,25,30,50,20
20,1,0,4,Eastern Region,A LEVEL 2 of 5 RISK,4,7,500,10,100,30,30,65,54
69,1,0,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),80,60,500,10,0.001,20,25,52,20
70,1,0,1,Eastern Region,A LEVEL 4 of 5 RISK,50,40,600,10,1,30,25,10,20
72,1,0,1,Eastern Region,A LEVEL 2 of 5 RISK,40,40,500,10,0.5,25,35,25,5
72,1,0,1,Central Region,A 30% CHANCE,33,20,50,10,1,2.5,25,40,1
51,1,0,1,Southern Region,A 30% CHANCE,75,100,500,300,1,10,30,25,34
70,1,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),1,1,500,10,0.01,33,30,11,10
71,1,1,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),10,20,500,1,0,5,15,35,20
68,1,0,1,Eastern Region,AN 15% CHANCE,50,50,1,5,1,10,3,6,20
72,1,0,1,Central Region,A LEVEL 2 of 5 RISK,15,5,550,10,1,30,33,15,33
71,1,0,1,Eastern Region,AN 15% CHANCE,40,30,50,10,0.0001,40,30,50,85
66,1,0,1,Southern Region,AN LEVEL 3 of 5 RISK,100,100,500,10,1,30,5,10,10
74,1,0,1,Eastern Region,A 5% CHANCE,70,40,500,10,0.1,33,30,53,20
73,1,0,5,Central Region,A LEVEL 2 of 5 RISK,40,40,500,10,0.1,25,30,20,80
66,0,1,1,Central Region,AN ENHANCED RISK,20,0,500,10,10,30,20,30,30
77,1,0,1,Western Region,A 30% CHANCE,0,0,500,100,10,20,30,22,95
67,1,0,1,Western Region,AN ENHANCED RISK (15% CHANCE),15,10,500,10,1,5,16,35,20
73,1,0,1,Eastern Region,AN 15% CHANCE,80,80,500,10,0.1,20,30,23,4
67,1,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),20,90,550,10,0.01,25,30,24,50
70,1,0,1,Central Region,A SLIGHT RISK,3,3,50,3,100,20,5,5,4
71,1,0,1,Eastern Region,AN ENHANCED RISK,45,0,500,10,0.05,0.01,0,1,2
27,1,1,1,Eastern Region,A MODERATE RISK (30% CHANCE),80,90,500,10,0.1,0.2,27,22,75
68,1,0,1,Eastern Region,AN ENHANCED RISK,70,70,500,200,1,60,3,4,15
65,1,0,1,Western Region,A SLIGHT RISK (5% CHANCE),0,0,501,10,1,20,30,40,5
72,1,0,1,Eastern Region,A 30% CHANCE,50,100,500,10,1,20,12,20,20
84,1,0,1,Eastern Region,A 30% CHANCE,7,7,500,100,0.1,25,25,11,80
66,1,0,1,Southern Region,A 30% CHANCE,75,50,500,25,1,25,25,50,50
66,1,0,1,Eastern Region,A LEVEL 4 of 5 RISK,80,90,500,10,0.01,20,30,20,16
19,1,0,3,Southern Region,A LEVEL 2 of 5 RISK,95,90,500,10,0,0.4,30,20,50
69,1,1,1,Central Region,A LEVEL 2 of 5 RISK,30,0,500,10,10,33,5,3,10
68,1,0,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),70,70,55,10,0.1,35,30,46,10
24,1,0,2,Eastern Region,A 5% CHANCE,70,50,570,10,0.1,5,5,4,30
82,1,0,1,Eastern Region,A MODERATE RISK,25,0,500,10,0.1,20,30,24,10
65,1,0,1,Central Region,AN 15% CHANCE,15,1,500,10,10,33,30,23,20
72,1,0,2,Eastern Region,AN ENHANCED RISK (15% CHANCE),25,0,500,100,1,30,25,70,30
75,1,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),3,10,50,10,1,5,5,7,10
23,1,1,1,Eastern Region,A SLIGHT RISK,50,50,49,40,40,50,3,40,5
71,1,0,1,Southern Region,A SLIGHT RISK (5% CHANCE),5,0,500,5,1,20,25,50,20
72,1,1,1,Eastern Region,AN 15% CHANCE,20,40,400,20,12,20,5,4,20
73,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),70,NA,90,7,7,12,5,5,13
18,1,0,2,Eastern Region,A 5% CHANCE,0,0,5,6,4,5,9,5,5
66,1,0,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),NA,NA,500,1,1,33,20,13,13
69,1,0,1,Southern Region,A SLIGHT RISK,90,90,260,6,2,10,8,4,2
65,1,0,1,Eastern Region,A LEVEL 2 of 5 RISK,30,60,500,100,1,5,25,12,20
79,1,0,1,Eastern Region,AN LEVEL 3 of 5 RISK,NA,NA,50,20,2,25,50,35,40
73,1,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),75,100,500,10,1,50,30,20,20
67,1,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),50,100,500,0.01,0.01,10,5,22,4
79,1,0,1,Southern Region,A MODERATE RISK (LEVEL 4 of 5),50,50,60,10,1,4,10,30,20
74,1,0,1,Southern Region,AN LEVEL 3 of 5 RISK,7,10,500,10,0.1,25,30,35,9
73,1,0,1,Southern Region,A MODERATE RISK (30% CHANCE),30,20,50,10,1,2,2,10,5
68,1,0,1,Eastern Region,A SLIGHT RISK,10,5,500,100,0.01,33,30,23,20
70,1,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),7,2,500,10,0.1,25,30,20,0.5
65,1,0,1,Eastern Region,A LEVEL 4 of 5 RISK,20,20,500,10,0.1,24,5,35,6
65,1,0,1,Southern Region,A LEVEL 4 of 5 RISK,100,100,500,10,0.1,20,50,12,5
70,1,0,1,Central Region,A MODERATE RISK (LEVEL 4 of 5),60,50,500,10,0.1,0.1,30,20,4
68,1,0,1,Southern Region,A MODERATE RISK (30% CHANCE),30,30,50,50,50,50,50,50,30
20,1,0,2,Western Region,A MODERATE RISK (LEVEL 4 of 5),50,60,486,10,0.1,10,30,43,20
82,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),10,40,500,100,75,50,5,40,100
73,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),70,10,500,10,1,20,30,12,5
76,1,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),10,5,500,1,1,40,25,28,4
67,1,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),75,100,500,10,1,15,17,45,20
66,1,0,1,Eastern Region,A SLIGHT RISK,10,10,500,10,0.1,33,30,25,2
24,1,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),30,40,500,10,0.1,1,20,30,4
67,1,0,1,Southern Region,A LEVEL 2 of 5 RISK,40,65,500,10,0.1,4,30,47,80
75,1,0,1,Central Region,AN LEVEL 3 of 5 RISK,60,25,500,10,1,20,30,28,20
68,1,0,1,Central Region,A SLIGHT RISK (5% CHANCE),5,25,50,10,3,33,32,20,2
72,1,0,1,Southern Region,A SLIGHT RISK (5% CHANCE),20,20,500,10,10,2.5,6,70,6
73,1,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),25,10,900,50,0,5,20,0,5
79,1,0,1,Eastern Region,A SLIGHT RISK,5,5,500,10,0.1,1,8,35,4
59,1,1,1,Eastern Region,A LEVEL 2 of 5 RISK,100,100,500,10,0.1,60,30,12,20
52,0,0,1,Southern Region,AN ENHANCED RISK,50,50,50,0,0,40,1,20,20
77,1,0,1,Eastern Region,A LEVEL 4 of 5 RISK,50,75,50,10,1,40,3,25,50
70,1,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),80,30,500,50,100,30,25,65,10
66,1,0,1,Southern Region,A 5% CHANCE,5,1,500,10,5,50,35,55,10
71,1,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),30,70,50,10,1,40,10,35,20
74,1,0,1,Western Region,AN ENHANCED RISK (15% CHANCE),70,100,60,2,90,30,3,6,60
68,1,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),57,77,599,10,1,10,1,2,30
75,1,0,1,Southern Region,A LEVEL 2 of 5 RISK,60,30,500,10,0.1,10,30,20,4
77,1,0,1,Eastern Region,A 30% CHANCE,10,10,500,1,10,30,30,42,10
65,1,0,1,Central Region,A 5% CHANCE,NA,NA,500,1,100,1,1,1,1
70,1,0,1,Eastern Region,A MODERATE RISK,10,10,700,10,1,10,35,65,10
67,1,0,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),60,50,500,10,0.1,10,30,20,4
24,0,1,7,Western Region,A MODERATE RISK,80,75,500,10,0.001,33.3,25,6.25,4
22,1,1,1,Southern Region,A MODERATE RISK (30% CHANCE),70,80,400,20,20,50,25,40,20
20,1,0,2,Western Region,AN ENHANCED RISK (LEVEL 3 of 5),56,37,200,1,3,10,3,7,13
68,1,0,1,Eastern Region,A SLIGHT RISK,10,10,500,10,0.1,20,30,22,25
69,1,0,1,Central Region,A 30% CHANCE,40,70,500,100,10,30,17,20,20
70,1,0,1,Western Region,AN 15% CHANCE,100,100,500,10,1,20,25,25,10
70,1,0,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),85,100,500,10,0.001,3,3,35,20
80,0,0,1,Southern Region,AN 15% CHANCE,20,0,510,10,0.5,20,35,25,20
66,1,0,1,Eastern Region,A LEVEL 4 of 5 RISK,1,1,500,1,1,25,25,35,10
18,1,0,2,Eastern Region,A SLIGHT RISK (5% CHANCE),20,45,500,100,10,20,10,8,30
69,1,0,1,Central Region,A MODERATE RISK,5,5,500,2,0.5,25,30,20,80
68,1,0,1,Southern Region,A 30% CHANCE,30,10,500,10,0.05,50,35,35,20
71,1,0,3,Southern Region,A SLIGHT RISK,20,20,550,10,20,25,12,50,20
20,1,1,2,Southern Region,A SLIGHT RISK,70,60,500,20,20,30,50,30,50
74,1,0,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),70,50,500,10,1,20,30,50,20
59,1,0,1,Eastern Region,A LEVEL 4 of 5 RISK,80,75,500,10,0.001,33,30,42,15
20,1,1,7,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),50,50,0,0,0,0,0,0,0
70,1,0,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),80,90,500,10,0.001,20,30,23,80
76,1,0,1,Southern Region,A 5% CHANCE,10,10,500,0.00005,0.0005,5,1,2,100
78,1,0,1,Eastern Region,A LEVEL 2 of 5 RISK,25,50,500,10,1,4,30,24,20
69,1,0,1,Central Region,A SLIGHT RISK (LEVEL 2 of 5),8,8,80,3,50,50,3,8,30
68,1,0,1,Central Region,A MODERATE RISK,100,100,500,100,1,50,10,15,10
71,1,0,1,Central Region,A MODERATE RISK,20,5,250,30,3,25,30,25,15
67,1,0,1,Southern Region,AN ENHANCED RISK,10,10,500,100,10,20,25,35,5
66,1,0,1,Southern Region,AN 15% CHANCE,30,50,500,100,1,10,50,30,10
70,0,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),100,100,500,10,1,20,20,25,10
69,1,0,1,Western Region,A SLIGHT RISK (LEVEL 2 of 5),0,0,500,10,1,35,25,1,80
44,0,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),98,88,680,100,1,10,50,70,25
23,0,0,1,Central Region,AN ENHANCED RISK (LEVEL 3 of 5),90,100,30,100,1,1,20,35,30
71,0,0,3,Western Region,AN ENHANCED RISK (LEVEL 3 of 5),0,0,575,1,1,25,22,13,35
68,0,0,1,Southern Region,A MODERATE RISK (LEVEL 4 of 5),50,100,500,1,0.1,1,30,10,40
69,0,0,1,Central Region,AN ENHANCED RISK (LEVEL 3 of 5),2,2,500,10,0.1,15,30,30,8
77,1,0,1,Eastern Region,A 30% CHANCE,35,65,50,10,40,20,3,3,20
83,1,0,1,Southern Region,A MODERATE RISK,50,40,500,100,0.01,20,30,15,100
67,1,0,5,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),80,100,500,10,1,33,20,20,10
72,1,0,1,Eastern Region,AN ENHANCED RISK,30,10,525,25,99,35,35,60,40
72,1,0,1,Central Region,AN 15% CHANCE,90,NA,55,10,1,30,3,4,10
68,1,0,1,Western Region,A LEVEL 2 of 5 RISK,100,100,500,500,1,100,25,30,25
23,0,1,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),50,50,50,50,1,30,40,50,5
56,1,0,1,Southern Region,A LEVEL 2 of 5 RISK,40,0,100,100,1,30,6,6,0
24,1,0,2,Southern Region,AN ENHANCED RISK (15% CHANCE),15,15,500,10,1,40,30,40,12
73,1,0,1,Southern Region,A LEVEL 2 of 5 RISK,50,50,50,10,1,50,25,12,10
76,1,0,1,Central Region,A LEVEL 2 of 5 RISK,60,30,500,10,0.0001,40,30,20,10
28,1,0,2,Eastern Region,A 5% CHANCE,80,90,501,100,0.1,20,50,8,10
22,0,0,1,Western Region,A SLIGHT RISK (5% CHANCE),10,15,475,10,10,60,30,50,10
84,0,0,1,Southern Region,A 30% CHANCE,50,50,500,10,50,30,25,5,6
71,0,0,1,Western Region,AN ENHANCED RISK (LEVEL 3 of 5),0,100,500,10,1,50,5,8,20
73,0,0,1,Western Region,A 5% CHANCE,15,10,650,10,1,80,35,35,80
83,1,0,1,Southern Region,A MODERATE RISK (30% CHANCE),100,50,50,20,1,50,20,30,10
66,0,0,1,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),75,25,500,0,0,80,50,50,45
69,0,0,2,Western Region,AN ENHANCED RISK (LEVEL 3 of 5),100,100,15,5,25,25,3,0,45
71,1,0,1,Eastern Region,A 30% CHANCE,50,50,20,1,1,10,5,35,20
23,1,0,2,Central Region,A SLIGHT RISK (5% CHANCE),50,58,3,7,3,59,4,10,6
18,1,0,1,Western Region,A LEVEL 4 of 5 RISK,35,35,572,10,0.001,33,30,35,10
82,1,0,1,Central Region,A MODERATE RISK (30% CHANCE),10,10,500,10,0.1,33,33,40,5
20,0,0,1,Central Region,AN ENHANCED RISK (15% CHANCE),50,50,500,100,1,10,30,20,0.5
23,0,0,4,Southern Region,AN LEVEL 3 of 5 RISK,97,98,97,100,97,89,46,67,87
66,1,0,1,Central Region,A SLIGHT RISK (5% CHANCE),20,25,500,100,1,60,30,40,20
77,0,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),80,80,40,10,0.5,25,1,35,25
73,0,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),10,10,500,1,1,10,50,50,20
67,1,0,1,Southern Region,AN ENHANCED RISK,50,75,500,10,1,10,25,20,20
18,1,0,2,Southern Region,A 30% CHANCE,1,2,1,1,2,1,2,2,5
73,0,1,1,Eastern Region,AN ENHANCED RISK,100,100,500,25,1,5,3,5,10
72,0,0,1,Southern Region,A SLIGHT RISK (5% CHANCE),0,0,500,10,1,3,25,40,25
67,0,0,1,Central Region,AN ENHANCED RISK (LEVEL 3 of 5),75,75,500,5,10,5,3,10,10
67,1,0,1,Eastern Region,A MODERATE RISK,6,5,800,100,1,25,15,10,20
73,0,0,2,Central Region,A MODERATE RISK,75,100,750,1,5,50,1,2,3
20,0,0,2,Southern Region,A SLIGHT RISK,100,100,100,100,10,10,5,6,10
25,0,0,2,Western Region,AN LEVEL 3 of 5 RISK,4,3,3,2,3,4,2,3,4
66,1,1,1,Central Region,AN 15% CHANCE,20,0,500,1,0.1,20,30,70,1
67,1,0,2,Southern Region,AN ENHANCED RISK (15% CHANCE),60,65,65,27,27,20,3,45,20
65,0,0,1,Southern Region,A 5% CHANCE,34,20,500,10,1,15,25,35,95
71,0,0,1,Central Region,A 30% CHANCE,20,30,600,10,1,15,30,45,25
85,0,0,1,Western Region,AN ENHANCED RISK (LEVEL 3 of 5),75,75,500,10,1,33,3,35,5
69,0,0,1,Central Region,A MODERATE RISK,50,75,500,10,1,15,25,50,20
74,0,0,1,Central Region,A SLIGHT RISK,30,10,600,100,1,6,30,36,4
65,0,0,3,Central Region,A MODERATE RISK (30% CHANCE),100,100,500,0,1,40,25,10,20
23,0,1,2,Southern Region,AN LEVEL 3 of 5 RISK,70,100,500,10,1,20,25,45,45
65,0,1,2,Eastern Region,AN ENHANCED RISK (15% CHANCE),50,50,50,80,10,35,35,60,4
69,0,0,1,Southern Region,AN LEVEL 3 of 5 RISK,100,100,400,10,70,10,3,2,14
65,0,0,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),10,20,575,85,0.001,10,38,35,0.01
68,0,0,1,Central Region,AN ENHANCED RISK (15% CHANCE),50,60,550,10,0.01,4,30,20,20
69,0,0,1,Central Region,A SLIGHT RISK (LEVEL 2 of 5),50,100,650,1,10,20,30,20,10
70,0,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),50,20,500,10,0.01,1,34,40,40
67,0,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),5,5,63,12,0,50,25,60,30
76,0,0,2,Eastern Region,AN 15% CHANCE,100,NA,1,10,1,25,2,3,20
68,0,0,1,Eastern Region,A SLIGHT RISK,8,10,500,10,1,40,25,10,20
69,0,0,1,Southern Region,A LEVEL 2 of 5 RISK,45,40,500,10,0.01,30,25,33,4
72,0,0,1,Eastern Region,AN 15% CHANCE,25,25,650,10,0.01,25,30,20,6
70,1,0,1,Southern Region,A 30% CHANCE,70,80,500,10,1,20,5,35,20
67,0,0,1,Eastern Region,A 5% CHANCE,0,0,500,1,1,50,5,70,20
23,0,0,1,Central Region,A 30% CHANCE,30,50,500,10,0.1,25,30,20,50
71,0,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),50,10,500,10,1,20,50,6,10
86,0,0,1,Central Region,AN ENHANCED RISK,60,50,350,1,1,20,25,3,20
72,0,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),8,8,500,1,1,50,30,35,10
83,0,0,1,Central Region,AN ENHANCED RISK (15% CHANCE),100,0,500,100,0.5,33,15,70,90
65,0,0,1,Central Region,AN LEVEL 3 of 5 RISK,65,75,500,1,1,33,25,33,25
86,1,0,4,Eastern Region,A LEVEL 4 of 5 RISK,100,100,500,10,0.1,0.25,30,28,8
68,0,0,1,Central Region,AN 15% CHANCE,25,10,500,10,1,20,30,13,4
65,0,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),75,75,500,100,1,10,30,10,10
22,0,0,1,Central Region,A SLIGHT RISK,0,0,200,25,40,20,4,30,40
69,0,0,1,Southern Region,A 5% CHANCE,50,100,500,10,0.01,30,15,12,5
76,1,0,1,Western Region,A MODERATE RISK,70,50,50,10,1,1,40,20,10
69,0,0,2,Eastern Region,A LEVEL 4 of 5 RISK,80,50,50,10,40,60,30,40,10
67,0,0,1,Western Region,AN ENHANCED RISK (15% CHANCE),50,0,500,10,0.01,50,10,15,50
72,1,0,1,Southern Region,A MODERATE RISK (30% CHANCE),5,5,500,10,0.1,20,33,50,4
24,0,0,4,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),50,90,500,350,0.1,40,15,51,12
89,0,0,1,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),0,0,65,10,10,100,50,70,100
83,0,0,1,Central Region,A 5% CHANCE,25,30,500,10,1,30,50,60,50
68,0,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),35,50,500,10,0.1,25,30,20,50
68,0,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),80,100,500,1,1,50,30,50,20
68,0,0,1,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),20,20,500,10,0.1,35,40,15,29
69,0,0,1,Eastern Region,A MODERATE RISK,5,5,50,1,10,10,40,3,20
66,0,0,1,Eastern Region,A LEVEL 4 of 5 RISK,30,50,999,10,25,33,34,35,4
73,0,0,1,Central Region,AN ENHANCED RISK (15% CHANCE),25,20,500,10,100,20,25,24,20
75,0,0,1,Western Region,AN ENHANCED RISK (15% CHANCE),10,50,500,20,1,90,40,60,10
19,0,0,5,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),40,50,500,10,1,5,3,30,10
25,0,1,1,Western Region,A 30% CHANCE,30,20,500,10,0.01,25,30,35,4
69,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,25,100,500,256,20,50,20,35,20
71,1,0,1,Central Region,A MODERATE RISK,30,20,500,10,0.1,25,30,20,80
67,0,0,1,Western Region,A SLIGHT RISK (5% CHANCE),10,10,50,10,1,10,40,40,50
59,1,0,1,Eastern Region,A 5% CHANCE,0,0,500,10,0.1,40,30,46,20
20,0,0,2,Southern Region,AN ENHANCED RISK (15% CHANCE),59,62,550,70,1,23,5,45,13
65,1,0,1,Central Region,A MODERATE RISK (LEVEL 4 of 5),50,50,55,10,0.001,60,30,25,5
23,0,0,1,Southern Region,A MODERATE RISK,60,100,500,50,1,20,5,54,5
76,0,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),75,75,50,10,0.01,33.3,25,35,95
71,1,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),50,50,500,1,0.5,5,5,6,10
71,0,0,1,Eastern Region,A LEVEL 4 of 5 RISK,75,100,400,20,20,10,25,20,10
71,0,0,1,Central Region,AN LEVEL 3 of 5 RISK,50,30,400,100,0.01,15,30,35,15
77,1,0,2,Southern Region,AN LEVEL 3 of 5 RISK,50,50,900,100,10,100,5,10,5
66,0,0,1,Central Region,A MODERATE RISK,50,50,500,10,1,20,50,50,20
69,0,0,1,Central Region,AN 15% CHANCE,10,5,50,40,100,75,37,44,10
70,1,0,1,Southern Region,A LEVEL 2 of 5 RISK,13,5,549,29,0.01,10,37,51,37
74,1,0,1,Southern Region,A MODERATE RISK (LEVEL 4 of 5),50,50,50,50,50,50,30,50,50
72,0,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),15,50,500,10,0.1,10,25,4,4
72,0,0,1,Central Region,AN ENHANCED RISK (15% CHANCE),10,5,350,1,0.01,65,40,25,20
68,0,0,1,Central Region,AN ENHANCED RISK (LEVEL 3 of 5),100,100,500,100,50,10,25,20,45
65,0,1,1,Southern Region,A MODERATE RISK (30% CHANCE),50,50,500,10,1,3,3,10,20
65,0,0,1,Eastern Region,A 5% CHANCE,95,100,50,2,1,2,30,50,2
74,1,0,1,Southern Region,AN LEVEL 3 of 5 RISK,30,60,500,10,0.1,25,30,20,50
70,0,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),50,100,50,1,1,5,50,65,100
73,1,0,1,Southern Region,AN ENHANCED RISK,10,10,500,10,0.001,60,30,60,1
69,0,0,1,Central Region,A MODERATE RISK (30% CHANCE),40,50,500,10,0.5,30,30,15,20
71,0,0,1,Eastern Region,A LEVEL 4 of 5 RISK,100,100,25,50,100,100,10,50,0
70,0,0,1,Central Region,AN ENHANCED RISK,80,80,50,1,1,20,30,65,20
78,0,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),20,10,500,10,0.01,60,30,18,95
75,1,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),10,10,500,10,1,40,25,30,20
66,0,0,1,Eastern Region,A 30% CHANCE,30,30,525,1,1,20,30,42,5
82,0,0,7,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),50,60,10,5,1,6,1,3,10
23,0,1,7,Western Region,AN ENHANCED RISK (15% CHANCE),50,80,10,30,10,100,50,10,30
67,0,0,1,Southern Region,A LEVEL 2 of 5 RISK,30,NA,100,10,10,33,20,20,20
19,0,1,2,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),10,13,900,10,100,100,50,6,20
78,0,0,1,Central Region,AN LEVEL 3 of 5 RISK,70,100,500,10,1,10,5,25,20
65,0,0,1,Western Region,AN LEVEL 3 of 5 RISK,30,60,50,1,1,20,35,15,5
75,0,0,1,Central Region,A SLIGHT RISK (LEVEL 2 of 5),20,10,500,1,1,20,25,35,20
19,0,0,1,Eastern Region,A SLIGHT RISK,20,0,500,10,1,30,25,6,5
22,0,0,1,Southern Region,A MODERATE RISK (30% CHANCE),10,20,500,10,1,20,25,12,10
24,0,0,1,Southern Region,A SLIGHT RISK,40,0,500,10,100,40,30,60,30
78,0,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),10,0,20,1,10,5,25,10,50
20,0,0,1,Southern Region,A MODERATE RISK (LEVEL 4 of 5),10,30,500,10,0.1,25,30,20,25
67,0,0,1,Central Region,A MODERATE RISK (30% CHANCE),50,0,600,10,1,20,35,50,45
71,1,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),10,10,500,10,1,10,33,50,20
66,0,0,1,Southern Region,A MODERATE RISK (30% CHANCE),50,50,60,10,1,25,33,15,10
82,0,0,1,Southern Region,AN 15% CHANCE,70,70,50,40,100,80,5,6,10
18,0,0,1,Eastern Region,AN ENHANCED RISK,80,50,500,100,0,27,25,60,10
72,1,1,7,Southern Region,A MODERATE RISK (30% CHANCE),50,50,3,2,0,20,5,10,50
23,0,0,1,Southern Region,A LEVEL 4 of 5 RISK,80,100,500,20,1,60,30,25,10
20,1,0,1,Central Region,AN LEVEL 3 of 5 RISK,20,0,500,500,50,60,30,30,10
65,0,0,1,Central Region,A LEVEL 2 of 5 RISK,40,40,50,10,1,10,20,40,10
78,0,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),50,75,500,25,1,50,25,35,100
18,0,1,1,Central Region,AN 15% CHANCE,35,45,500,10,10,35,45,35,20
18,0,0,2,Southern Region,A SLIGHT RISK,90,80,50,10,10,10,30,20,20
78,0,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),10,5,500,10,1,40,30,12,95
68,0,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),25,25,500,5,0.5,1,35,20,6
85,0,0,1,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),10,10,25,5,5,0,0,0,0
79,0,0,1,Southern Region,A SLIGHT RISK (5% CHANCE),20,20,40,10,0.1,30,30,10,10
72,0,0,1,Western Region,A SLIGHT RISK,25,100,500,10,1,10,25,40,20
23,0,1,2,Western Region,AN ENHANCED RISK (LEVEL 3 of 5),70,95,500,100,10,40,30,20,15
73,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,50,60,500,100,10,25,25,10,5
19,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,50,75,500,10,0.1,25,25,50,15
71,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),20,20,500,10,0.1,25,30,20,50
24,0,0,1,Central Region,A 5% CHANCE,1,1,500,10,1,32,30,20,20
69,0,0,1,Eastern Region,A SLIGHT RISK,100,100,600,200,50,20,5,10,25
18,0,1,5,Western Region,A LEVEL 2 of 5 RISK,100,100,1,1,0.01,6,3,6,50
21,1,1,3,Western Region,A 30% CHANCE,60,100,500,10,0.1,10,25,35,35
74,0,0,1,Southern Region,A LEVEL 2 of 5 RISK,5,6,500,10,10,25,30,20,20
67,0,0,1,Western Region,A SLIGHT RISK (LEVEL 2 of 5),20,20,700,10,0.1,10,30,1,0.5
22,0,1,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),80,100,15,5,1,10,25,10,25
69,0,0,1,Southern Region,A 5% CHANCE,10,95,1,1,1,5,3,6,20
18,0,0,5,Southern Region,AN ENHANCED RISK (15% CHANCE),60,100,500,50,2,45,30,10,10
90,1,0,1,Eastern Region,A 5% CHANCE,50,100,60,101,1,5,10,20,19
20,0,0,1,Western Region,AN ENHANCED RISK (15% CHANCE),100,90,90,90,80,90,5,3,4
51,1,0,1,Eastern Region,A SLIGHT RISK,50,50,500,10,0.01,10,25,22,0
