age,gend,hisp,race,nws_region,spc_rand,spc_risk_perc,spc_resp_perc,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom
37,0,0,4,Central Region,A LEVEL 2 of 5 RISK,80,60,500,10,0.001,50,30,25,20
35,1,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),60,40,500,10,10,1,35,70,40
61,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,100,100,20,20,10,85,25,25,25
19,1,1,5,Central Region,A MODERATE RISK (30% CHANCE),45,50,100,50,59,40,5,56,5
45,1,0,1,Eastern Region,A 5% CHANCE,60,80,500,1000,100,50,5,10,50
21,1,1,1,Eastern Region,AN 15% CHANCE,50,50,50,50,50,50,50,5,50
37,1,0,1,Eastern Region,AN 15% CHANCE,70,60,100,3,7,75,5,7,5
39,1,0,1,Western Region,A SLIGHT RISK (LEVEL 2 of 5),70,40,40,100,90,50,23,4,58
35,0,0,1,Eastern Region,A MODERATE RISK,50,50,10,30,10,70,49,20,20
38,1,0,1,Western Region,AN LEVEL 3 of 5 RISK,5,3,500,10,10,20,30,35,20
40,0,0,1,Southern Region,A MODERATE RISK,90,90,500,1,1,10,30,30,50
21,1,0,2,Southern Region,A LEVEL 2 of 5 RISK,89,76,500,10,10,60,3,60,4
45,1,1,1,Eastern Region,AN LEVEL 3 of 5 RISK,46,45,500,40,40,50,5,5,50
39,1,0,1,Central Region,A SLIGHT RISK (LEVEL 2 of 5),0,0,300,7,8,4,7,9,1
35,0,0,1,Eastern Region,A SLIGHT RISK,100,100,100,100,100,30,10,38,25
41,1,0,1,Western Region,A LEVEL 4 of 5 RISK,50,50,1,1,1,100,39,6,30
18,1,0,2,Southern Region,A LEVEL 4 of 5 RISK,100,100,500,100,1,5,25,35,30
60,0,0,1,Eastern Region,A LEVEL 4 of 5 RISK,25,25,500,100,1,33,5,6,1
39,0,0,1,Central Region,A SLIGHT RISK (5% CHANCE),30,20,450,10,1,10,10,7,10
40,1,0,1,Western Region,A LEVEL 4 of 5 RISK,75,88,75,85,77,25,44,27,55
23,0,0,4,Eastern Region,A MODERATE RISK,4,6,20,60,20,100,6,5,20
30,1,1,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),4,4,3,3,2,3,4,4,40
33,1,0,1,Eastern Region,A 5% CHANCE,90,90,50,60,50,50,30,40,50
30,1,0,1,Eastern Region,AN 15% CHANCE,50,70,500,10,1,50,25,30,20
35,0,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),80,90,100,50,50,60,3,3,10
61,1,0,5,Central Region,A MODERATE RISK (30% CHANCE),33,66,500,10,0.01,40,30,20,20
31,1,0,1,Southern Region,A MODERATE RISK,60,70,30,20,60,40,35,70,40
32,0,1,1,Central Region,A SLIGHT RISK,50,50,200,100,1,1,5,0.5,0.5
34,0,1,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),90,89,1000,1000,100,50,10,35,20
35,0,0,1,Eastern Region,A SLIGHT RISK,100,100,100,100,100,80,5,6,80
35,0,0,1,Eastern Region,A SLIGHT RISK,70,100,800,75,25,75,5,35,65
37,1,0,1,Southern Region,A MODERATE RISK (LEVEL 4 of 5),75,50,560,2,2,40,3,20,24
29,0,1,1,Western Region,AN ENHANCED RISK (15% CHANCE),30,20,500,10,0.001,5,3,5,20
40,1,0,1,Eastern Region,A LEVEL 4 of 5 RISK,100,100,500,50,80,10,50,60,20
42,1,0,1,Eastern Region,A 30% CHANCE,90,70,500,10,1,1,30,11,20
30,0,0,1,Central Region,AN ENHANCED RISK (LEVEL 3 of 5),20,20,7,2,20,3,7,7,2
30,1,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),89,87,789,100,16,15,23,35,35
44,1,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),40,60,5,10,10,100,5,5,20
32,1,0,1,Central Region,A 5% CHANCE,58,25,85,54,75,58,30,20,25
35,0,0,1,Eastern Region,A 5% CHANCE,80,85,1,1,1,20,30,1,20
28,0,1,1,Southern Region,A SLIGHT RISK (5% CHANCE),100,100,500,100,100,50,5,4,10
39,1,1,1,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),70,90,10,100,15,60,25,60,50
36,0,0,4,Central Region,AN LEVEL 3 of 5 RISK,50,50,300,2,1,40,2,2,20
34,1,0,1,Eastern Region,A MODERATE RISK,40,60,500,10,0.1,30,10,6,15
24,0,0,4,Southern Region,A 30% CHANCE,5,4,5,2,5,6,4,5,6
38,1,1,1,Eastern Region,A 5% CHANCE,100,100,900,900,1,70,25,10,15
45,1,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),100,100,1000,10,100,100,50,50,30
59,0,0,1,Eastern Region,A MODERATE RISK,100,100,40,10,1,25,20,40,75
54,1,0,1,Eastern Region,AN LEVEL 3 of 5 RISK,3,5,500,10,1,10,20,20,5
40,1,0,1,Southern Region,A 30% CHANCE,70,99,500,10,12,40,25,0.1714,1
63,0,0,1,Southern Region,A 5% CHANCE,10,0,500,10,1,33,35,28,15
50,0,0,1,Southern Region,AN ENHANCED RISK,10,10,500,10,1,4,30,47,5
29,1,0,2,Central Region,A SLIGHT RISK (LEVEL 2 of 5),60,80,10,1,10,20,5,12,2
45,1,0,1,Southern Region,A MODERATE RISK (LEVEL 4 of 5),100,50,10,10,50,0.01,25,12,25
50,1,0,1,Eastern Region,A MODERATE RISK,90,90,500,100,75,5,50,55,20
35,1,0,1,Eastern Region,A LEVEL 4 of 5 RISK,70,90,60,70,90,80,4,5,98
45,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),50,70,100,100,100,100,1,6,30
38,1,0,1,Eastern Region,A SLIGHT RISK,70,40,500,4,5,40,10,1,2
44,0,0,1,Southern Region,A MODERATE RISK,70,80,500,10,1,25,30,17,5
75,0,0,1,Central Region,AN LEVEL 3 of 5 RISK,75,100,50,1,1,5,5,35,25
75,1,0,1,Southern Region,A 30% CHANCE,0,0,500,1000,0.01,10,3,6,10
67,1,0,1,Eastern Region,A LEVEL 2 of 5 RISK,20,5,500,10,0.1,25,30,35,75
48,1,0,1,Eastern Region,A MODERATE RISK,NA,NA,200,1000,70,80,0.03,0.58,65
67,0,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),30,65,47,10,1,2,10,14,8
23,0,0,5,Southern Region,AN 15% CHANCE,50,50,50,10,1,50,3,3,20
36,1,0,2,Eastern Region,A LEVEL 4 of 5 RISK,95,85,500,5,5,10,25,3,10
74,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),20,50,500,10,0.1,25,30,20,50
28,0,1,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),100,100,10,10,100,100,5,6,20
40,0,0,1,Southern Region,AN 15% CHANCE,100,4,50,10,5,20,20,20,20
30,0,1,2,Southern Region,AN ENHANCED RISK,100,100,7,3,100,60,1,3,5
31,0,0,1,Western Region,A MODERATE RISK (30% CHANCE),40,30,500,8,1,10,15,18,4
41,0,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),10,0,500,5,1,30,30,50,95
30,0,0,1,Eastern Region,A LEVEL 4 of 5 RISK,90,100,500,10,0.001,0.4,0.6,20,0.36
30,1,1,1,Western Region,A SLIGHT RISK (5% CHANCE),4,3,4,3,3,40,3,4,40
35,1,1,1,Western Region,A SLIGHT RISK (5% CHANCE),60,50,500,400,50,50,5,50,70
23,0,0,1,Southern Region,A MODERATE RISK,0,0,2,6,1,1,1,2,1
43,0,1,1,Western Region,A MODERATE RISK,0,0,50,1,1,70,30,20,1
47,1,0,1,Eastern Region,AN LEVEL 3 of 5 RISK,1,1,2,3,4,10,5,6,50
36,1,0,1,Western Region,A LEVEL 4 of 5 RISK,8,100,20,1,20,100,23,32,30
52,0,0,1,Eastern Region,A 30% CHANCE,80,60,50,3,20,35,2,6,23
68,0,0,1,Central Region,A SLIGHT RISK,20,0,500,10,1,5,3,18,2
