p_id,age,gend,hisp,race,state,zip,nws_region,lat,lon,rural,home,follow,warn_hist,rand_morn,rec_morn,und_morn,resp_morn,rand_aft,rec_aft,und_aft,resp_aft,rand_eve,rec_eve,und_eve,resp_eve,wx_info1,wx_info2,wx_info3,wx_info4,wx_info5,wx_info6,wx_info7,wx_info8,income,inc_50,inc_100,inc_150,inc_200,edu
5ee12aab-482f-0090-8043-440e1d5dc686,56,0,0,1,Missouri,63123,Central Region,38.4539032,-90.32800293,2,1,5,1,2:00:00,5,5,5,1:00 PM,5,5,5,9:00 PM,5,5,5,3,1,2,2,3,3,3,3,2,NA,6,NA,NA,4
5ee12af2-f190-9bff-e34f-d47d8560f77c,41,0,0,1,North Carolina,27856,Eastern Region,35.65769958,-78.38369751,3,4,4,1,7:00:00,5,5,5,1:00 PM,5,5,5,12:00 AM (midnight),5,5,5,4,5,4,4,4,4,5,4,1,1,NA,NA,NA,1
5ee12abf-6ced-2df8-a4f4-d73e724b2987,61,0,0,1,Massachusetts,1536,Eastern Region,42.22940063,-71.69979858,2,2,4,0,2:00:00,2,3,5,12:00 PM (noon),NA,NA,3,7:00 PM,3,NA,NA,3,4,3,3,1,4,5,5,1,2,NA,NA,NA,2
5ee12aea-2edf-12c8-ebcf-db174122ea12,39,0,0,1,Michigan,48446,Central Region,43.05610657,-83.33740234,1,1,4,1,2:00:00,1,1,1,12:00 PM (noon),1,1,2,10:00 PM,3,1,3,2,4,4,4,4,4,5,4,1,1,NA,NA,NA,2
5ee12af1-10a6-2ad4-ad04-b380a5af4432,55,1,0,1,Virginia,22191,Eastern Region,38.67590332,-77.31569672,2,1,4,1,1:00:00,3,4,4,3:00 PM,4,4,3,8:00 PM,4,4,4,4,5,4,5,1,3,3,3,1,5,NA,NA,NA,6
5ee12ada-bd7d-0a7b-32c0-321f3f7dafd4,51,1,0,1,Florida,33190,Southern Region,25.65890503,-80.3553009,2,1,5,1,7:00:00,3,3,3,5:00 PM,5,5,5,9:00 PM,3,3,5,5,4,3,4,5,4,3,4,1,2,NA,NA,NA,1
5ee12ad0-7582-3f5e-26f0-76a36168c576,79,0,0,1,New York,11710,Eastern Region,40.67370605,-73.53359985,2,1,4,1,7:00:00,5,5,5,3:00 PM,5,5,5,10:00 PM,5,5,5,5,5,5,4,5,5,5,4,2,NA,10,NA,NA,4
5ee12b13-1994-63f3-64d2-4ac0002a7dd0,61,0,0,1,Mississippi,39482,Southern Region,40.70640564,-73.94730377,3,1,4,1,4:00:00,3,3,3,4:00 PM,3,3,3,6:00 PM,3,3,3,3,3,3,3,1,2,3,3,1,3,NA,NA,NA,6
5ee12af5-0251-67db-bf18-604104b35fd3,53,0,1,1,New York,11727,Eastern Region,40.88789368,-73.00869751,2,2,4,0,1:00:00,3,2,2,5:00 PM,3,3,3,12:00 AM (midnight),3,3,3,3,3,3,3,1,2,3,2,2,NA,7,NA,NA,4
5ee12b13-73c4-e240-b399-c4eea3eaea8f,36,0,0,1,Virginia,22311,Eastern Region,38.92080688,-77.03600311,2,3,5,1,4:00:00,3,3,3,4:00 PM,4,4,4,9:00 PM,4,4,4,3,5,4,4,2,2,5,5,2,NA,9,NA,NA,6
5ee12b6d-16f3-4338-1081-2b37e2ed9972,35,0,0,1,New York,10013,Eastern Region,40.71569824,-74,1,1,3,0,9:00:00,2,4,4,12:00 PM (noon),3,2,3,9:00 PM,2,1,4,4,5,5,4,3,4,4,3,4,NA,NA,NA,19,7
5ee12b3d-d0c2-2eff-c0b4-d4a7f11d46b8,82,0,0,1,Florida,34609,Southern Region,28.47970581,-82.51260376,2,1,4,1,3:00:00,4,4,4,3:00 PM,4,4,4,12:00 AM (midnight),4,4,4,2,4,3,1,1,2,1,1,1,4,NA,NA,NA,2
5ee12b6e-46cc-db0b-c308-d2fdce86feeb,65,0,0,1,Arizona,85704,Western Region,32.33810425,-110.9813995,2,1,5,0,4:00:00,3,3,3,12:00 PM (noon),3,3,5,9:00 PM,4,4,4,5,4,4,3,1,2,5,5,1,4,NA,NA,NA,4
5ee12bae-d3ef-97e0-c454-73c2c34bca88,40,0,0,4,Wisconsin,53711,Central Region,43.08120728,-89.3844986,1,1,4,1,3:00:00,3,3,3,12:00 PM (noon),2,2,2,9:00 PM,2,2,2,3,3,3,4,3,3,3,3,2,NA,6,NA,NA,6
5ee12bc7-f2c5-dd4b-8df8-47d687a1cf86,48,1,0,1,Florida,33880,Southern Region,27.98730469,-81.76249695,1,3,3,1,6:00:00,3,2,4,3:00 PM,3,4,4,6:00 PM,2,4,2,4,4,3,3,3,4,3,3,1,5,NA,NA,NA,7
5ee12b25-a870-6115-31c6-dd89df833d23,32,0,0,1,Illinois,60096,Central Region,42.44219971,-87.83959961,2,1,5,1,9:00:00,3,3,3,4:00 PM,3,3,3,9:00 PM,3,3,4,3,4,4,4,3,3,3,3,2,NA,7,NA,NA,4
5ee12bce-1cf4-0b74-b029-bdc2665bcd3e,33,1,1,1,Florida,32509,Southern Region,29.98129272,-90.16629791,2,3,4,0,3:00:00,3,3,4,11:00 AM,2,5,3,8:00 PM,3,4,3,2,4,2,3,4,3,4,3,4,NA,NA,NA,18,5
5ee12bfe-c795-8266-2539-4329cc3ac622,31,1,0,1,New York,10001,Eastern Region,40.75030518,-74.00140381,2,1,4,0,9:00:00,4,4,2,12:00 PM (noon),2,4,4,6:00 PM,2,3,2,4,3,3,3,2,4,2,2,1,1,NA,NA,NA,7
5ee12c28-400b-d7bd-695f-d18e761ad884,67,1,0,1,Massachusetts,2052,Eastern Region,42.45669556,-71.37470245,3,3,3,1,6:00:00,5,4,2,12:00 PM (noon),4,4,2,12:00 AM (midnight),1,1,1,4,1,4,4,4,1,1,1,1,4,NA,NA,NA,7
5ee12bfc-656b-d1be-f75b-59df0b9c0a4d,62,1,1,1,New Jersey,8232,Eastern Region,39.9611969,-75.2303009,2,3,4,1,9:00:00,2,4,4,10:00 AM,4,5,4,12:00 AM (midnight),2,3,2,5,4,5,5,3,3,5,5,1,5,NA,NA,NA,5
5ee12c4a-2398-a74f-58c8-f197a0bfefa9,44,0,0,1,Virginia,24501,Eastern Region,37.35299683,-79.15570068,1,3,4,1,6:00:00,4,4,4,3:00 PM,4,3,3,11:00 PM,5,5,4,4,4,2,4,3,4,3,5,2,NA,7,NA,NA,4
5ee12c5f-d7e7-166e-90e6-05efca61f944,30,0,1,1,Arizona,85003,Western Region,40.91859436,-73.89320374,2,1,5,1,2:00:00,3,3,4,4:00 PM,4,5,5,12:00 AM (midnight),4,4,4,3,4,4,4,5,3,4,5,2,NA,8,NA,NA,6
5ee12c40-a03e-9892-1f32-a72326fcc1cb,45,0,0,1,Alabama,36350,Southern Region,33.71740723,-85.8404007,2,1,5,1,9:00:00,4,4,3,11:00 AM,4,4,4,9:00 PM,4,4,4,4,4,4,4,4,4,4,4,2,NA,9,NA,NA,6
