p_id,age,gend,hisp,race,state,zip,nws_region,lat,lon,rural,home,follow,warn_hist,rand_morn,rec_morn,und_morn,resp_morn,rand_aft,rec_aft,und_aft,resp_aft,rand_eve,rec_eve,und_eve,resp_eve,wx_info1,wx_info2,wx_info3,wx_info4,wx_info5,wx_info6,wx_info7,wx_info8,income,inc_50,inc_100,inc_150,inc_200,edu
EPO77VBNDHYXC5L4M3,54,1,0,4,Illinois,60060,Central Region,42.20080566,-88.04299927,3,1,3,0,8:00:00,3,3,3,12:00 PM (noon),3,3,3,8:00 PM,3,3,3,3,3,3,3,3,3,3,3,1,5,NA,NA,NA,8
EPO77VDZDV5LMGD4M9,66,0,0,1,Maryland,21921,Eastern Region,39.57539368,-75.92690277,2,4,4,0,8:00:00,3,3,3,11:00 AM,3,3,3,11:00 PM,2,2,2,4,4,1,4,1,4,4,4,1,2,NA,NA,NA,2
EPO77VFD67MR5R44M7,54,1,0,1,New York,14420,Eastern Region,43.25079346,-77.92459869,2,1,2,1,9:00:00,3,3,3,12:00 PM (noon),3,3,3,6:00 PM,3,3,3,3,2,3,3,1,3,1,3,2,NA,9,NA,NA,5
EPO77VFJ2CJKML44M9,56,1,0,1,Utah,84097,Western Region,40.29679871,-111.6761017,2,1,4,0,9:00:00,2,4,4,2:00 PM,3,4,4,10:00 PM,4,4,4,3,3,4,2,2,4,4,2,2,NA,7,NA,NA,6
EPO77VFD4CZHV2M4M0,66,1,0,1,California,90620,Western Region,33.87550354,-117.9934998,2,1,3,0,1:00:00,NA,3,3,4:00 PM,3,3,3,9:00 PM,3,3,3,3,2,2,2,1,1,2,2,1,4,NA,NA,NA,7
EPO77VFJNC6WZGC4M2,62,0,0,1,Colorado,80477,Central Region,40.62649536,-106.9272003,2,1,4,0,2:00:00,1,2,2,1:00 PM,3,4,4,11:00 PM,3,4,4,3,4,1,3,1,3,2,2,3,NA,NA,11,NA,7
EPO77VFK7YV6PSP4M2,63,1,0,1,California,92101,Western Region,32.71910095,-117.1607056,1,3,4,0,9:00:00,4,4,4,1:00 PM,4,4,4,11:00 PM,3,4,4,1,1,4,4,1,2,3,3,3,NA,NA,11,NA,4
EPO77VFJCRK7C6D4M1,65,0,0,1,Missouri,65653,Central Region,38.91419983,-104.7749023,3,1,4,1,9:00:00,5,5,4,5:00 PM,5,5,4,6:00 PM,5,5,4,1,4,3,3,1,1,4,4,1,2,NA,NA,NA,7
EPO77VFNLZ7JM894M7,41,0,0,5,Oklahoma,73135,Southern Region,35.5151062,-97.57409668,2,1,2,1,3:00:00,2,5,4,12:00 PM (noon),5,5,5,11:00 PM,4,5,4,5,5,5,5,5,5,5,5,1,3,NA,NA,NA,4
EPO77VFPD6RK7Q34M6,51,1,0,1,Pennsylvania,15219,Eastern Region,39.73919678,-104.9847031,2,1,2,1,1:00:00,1,1,1,3:00 PM,4,4,3,10:00 PM,4,4,4,4,1,4,3,1,3,3,2,3,NA,NA,12,NA,6
