p_id,age,gend,hisp,race,state,zip,nws_region,lat,lon,rural,home,follow,warn_hist,rand_morn,rec_morn,und_morn,resp_morn,rand_aft,rec_aft,und_aft,resp_aft,rand_eve,rec_eve,und_eve,resp_eve,wx_info1,wx_info2,wx_info3,wx_info4,wx_info5,wx_info6,wx_info7,wx_info8,income,inc_50,inc_100,inc_150,inc_200,edu
oDtnHD95nJhXZ3_j_RjYmg**,58,0,0,4,New York,14586,Eastern Region,43.03970337,-77.68710327,2,1,4,0,4:00 AM,3,3,3,11:00 AM,3,3,3,8:00 PM,3,3,3,2,3,3,3,3,3,3,2,3,NA,NA,11,NA,6
5d126998-7294-6a37-6fba-493d3eb7a59e,49,1,1,7,California,90505,Western Region,33.75149536,-118.3670044,1,4,4,1,5:00 AM,3,3,3,5:00 PM,2,3,3,7:00 PM,3,3,3,4,4,4,4,4,4,4,4,2,NA,8,NA,NA,4
oDtnHD95nJhE-Q99vdHCzA**,62,0,0,4,California,92832,Western Region,33.86799622,-117.9264984,2,2,4,0,3:00 AM,3,3,3,5:00 PM,3,3,3,8:00 PM,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,NA,NA,2
oDtnHD95nJiYkpYAl89lew**,54,0,0,2,Florida,32811,Southern Region,28.57589722,-81.39569855,1,1,4,1,6:00 AM,4,4,4,2:00 PM,4,4,4,10:00 PM,4,4,4,4,4,4,4,4,4,4,4,1,2,NA,NA,NA,5
oDtnHD95nJhV_ygrgXeU0Q**,60,0,0,4,New York,10605,Eastern Region,40.91630554,-73.78980255,2,3,4,0,3:00 AM,2,2,2,12:00 PM (noon),3,3,3,10:00 PM,2,2,2,3,4,4,3,2,4,4,3,1,3,NA,NA,NA,7
oDtnHD95nJjO0vwPWo6lJw**,37,0,1,4,Georgia,30442,Southern Region,32.56990051,-82.34619904,3,1,5,1,7:00 AM,2,3,3,12:00 PM (noon),3,3,3,7:00 PM,4,4,4,5,5,5,3,4,2,5,5,1,5,NA,NA,NA,6
oDtnHD95nJiG3f80qkuBEA**,18,0,1,1,Texas,79938,Southern Region,31.80450439,-105.9661026,2,1,4,0,3:00 AM,2,3,3,3:00 PM,3,3,4,12:00 AM (midnight),3,3,4,4,4,3,4,3,3,3,1,1,1,NA,NA,NA,5
oDtnHD95nJjsuY5q-CoF3Q**,53,0,0,2,New Mexico,87114,Southern Region,35.18710327,-106.6659012,2,1,5,1,9:00 AM,4,4,4,12:00 PM (noon),4,4,4,9:00 PM,4,4,4,4,5,5,4,3,4,5,5,2,NA,6,NA,NA,7
5d126a6b-607b-f10c-f8c3-9dee17ef467e,28,0,1,1,Texas,78586,Southern Region,30.20950317,-97.79720306,2,4,3,1,8:00 AM,5,5,5,12:00 PM (noon),5,5,5,9:00 PM,NA,NA,5,5,5,5,5,5,5,5,5,1,1,NA,NA,NA,2
oDtnHD95nJhocBO5CIFpfw**,53,0,0,3,Nevada,89101,Western Region,34.06140137,-118.3072052,1,3,3,0,1:00 AM,3,3,3,11:00 AM,3,3,3,12:00 AM (midnight),3,3,3,1,1,4,2,1,2,3,4,1,3,NA,NA,NA,4
oDtnHD95nJhDPG8pEvTNwQ**,56,0,0,2,New Jersey,7601,Eastern Region,40.89050293,-74.05039978,2,3,4,0,1:00 AM,4,4,3,10:00 AM,NA,NA,NA,12:00 AM (midnight),4,4,3,3,3,3,3,3,3,3,3,1,NA,NA,NA,NA,1
oDtnHD95nJj4l4eK79SPhA**,71,0,0,2,Pennsylvania,19044,Eastern Region,39.98100281,-75.16989899,3,3,3,1,8:00 AM,5,3,4,12:00 PM (noon),4,4,4,10:00 PM,4,4,4,1,1,1,1,1,1,5,1,1,4,NA,NA,NA,2
oDtnHD95nJgGAK_sjYm8kA**,57,0,0,2,Louisiana,70805,Southern Region,30.50520325,-91.11810303,2,1,2,1,4:00 AM,2,2,2,3:00 PM,4,4,4,6:00 PM,4,4,4,3,1,4,1,1,1,1,1,1,3,NA,NA,NA,6
oDtnHD95nJimr6V8dbJc9w**,55,0,1,1,New Mexico,87109,Southern Region,35.13690186,-106.5198975,1,2,2,0,6:00 AM,1,3,2,1:00 PM,2,3,2,11:00 PM,2,3,2,1,1,3,3,2,3,1,2,1,3,NA,NA,NA,6
oDtnHD95nJhg-GexmAEOXw**,61,0,0,2,Michigan,48141,Central Region,42.42480469,-83.19509888,2,3,5,1,9:00 AM,5,4,4,2:00 PM,5,5,4,8:00 PM,5,5,5,5,5,5,5,5,4,5,5,1,2,NA,NA,NA,4
5d126b1b-88fd-651f-8fd5-7ce2950c808b,27,0,1,1,Illinois,60440,Central Region,41.80329895,-87.92829895,2,1,1,1,2:00 AM,3,3,1,3:00 PM,3,1,3,7:00 PM,2,3,2,1,3,2,3,3,3,3,2,2,NA,8,NA,NA,2
oDtnHD95nJgACLA9Mc3ffA**,39,0,0,1,Michigan,49684,Central Region,44.76119995,-85.62049866,2,2,4,1,3:00 AM,3,1,5,2:00 PM,3,1,5,11:00 PM,3,1,5,2,3,5,4,4,3,1,5,3,NA,NA,14,NA,5
oDtnHD95nJg7BCXlX5Qy3Q**,48,0,0,4,California,94523,Western Region,37.8993988,-122.1143951,2,1,4,0,8:00 AM,3,1,3,11:00 AM,3,1,3,9:00 PM,3,1,3,4,1,2,4,3,3,1,1,NA,NA,NA,NA,NA,7
oDtnHD95nJiGj0AQ-Kjh_g**,56,0,0,2,New York,11434,Eastern Region,40.67999268,-73.77500153,2,1,5,0,7:00 AM,5,4,5,2:00 PM,5,5,5,10:00 PM,5,5,5,5,5,5,5,1,5,5,5,1,3,NA,NA,NA,2
oDtnHD95nJhNQoIMsbsmNw**,59,0,0,2,Maryland,21061,Eastern Region,39.38600159,-76.54000092,2,1,NA,1,3:00 AM,4,4,3,3:00 PM,4,4,4,11:00 PM,4,4,4,5,5,5,5,5,5,5,5,1,5,NA,NA,NA,4
oDtnHD95nJji-71tP0l3Aw**,34,0,1,1,Texas,78557,Southern Region,26.17480469,-98.18699646,2,1,3,0,5:00 AM,3,1,1,11:00 AM,3,1,1,10:00 PM,3,1,1,5,2,4,5,5,4,5,4,2,NA,7,NA,NA,6
oDtnHD95nJiBXP9BJCiihw**,56,0,0,3,California,92404,Western Region,34.14529419,-117.300499,2,1,2,0,6:00 AM,2,3,3,4:00 PM,4,4,3,9:00 PM,4,4,4,3,3,3,2,2,3,3,3,1,2,NA,NA,NA,3
oDtnHD95nJhM72m-ROq3iQ**,62,0,0,1,Minnesota,55734,Central Region,47.53709412,-92.52850342,3,1,4,1,6:00 AM,3,4,5,5:00 PM,5,5,5,8:00 PM,5,5,5,1,1,5,1,1,2,5,5,1,5,NA,NA,NA,3
oDtnHD95nJg3Ov5FotcYaA**,53,0,0,4,Texas,76021,Southern Region,32.85450745,-97.1359024,2,1,3,0,9:00 AM,2,3,3,11:00 AM,2,3,3,8:00 PM,2,3,3,3,3,3,3,3,3,3,3,1,4,NA,NA,NA,6
oDtnHD95nJi6Bwu4B8cLNA**,25,0,0,2,Ohio,45203,Eastern Region,39.105896,-84.50469971,1,2,4,1,6:00 AM,3,3,3,5:00 PM,3,3,3,11:00 PM,3,3,3,2,4,3,3,3,3,3,3,1,1,NA,NA,NA,5
oDtnHD95nJhyG51IMsDAFQ**,64,0,1,1,Illinois,62234,Central Region,38.6065979,-89.38050079,2,1,5,1,8:00 AM,4,4,4,3:00 PM,4,4,4,6:00 PM,4,4,4,2,1,4,1,1,1,5,4,1,5,NA,NA,NA,4
oDtnHD95nJidnYK3EYmZJw**,57,0,0,2,Texas,75214,Southern Region,32.82359314,-96.68139648,1,3,5,0,8:00 AM,5,5,5,4:00 PM,5,5,5,7:00 PM,5,5,5,5,5,5,5,5,5,5,5,1,2,NA,NA,NA,2
5d126db9-6dfb-6455-631b-fbef53fed1d0,35,0,1,1,Florida,33462,Southern Region,26.61129761,-80.17430115,2,1,1,0,7:00 AM,3,5,5,1:00 PM,5,5,5,6:00 PM,5,5,5,5,5,1,4,4,3,5,3,NA,NA,NA,NA,NA,7
oDtnHD95nJhimkP14D9jyw**,63,0,0,2,Delaware,19702,Eastern Region,39.59289551,-75.65149689,2,3,4,1,1:00 AM,4,4,4,4:00 PM,4,4,4,7:00 PM,5,5,5,5,5,5,4,4,4,5,4,1,1,NA,NA,NA,2
5d126dd3-c66b-d47d-3ba8-d59ccfad7942,21,0,1,1,Massachusetts,2492,Eastern Region,42.28030396,-71.25,2,1,3,0,4:00 AM,1,1,1,4:00 PM,1,1,1,11:00 PM,1,1,1,3,3,3,3,3,3,3,3,2,NA,6,NA,NA,2
oDtnHD95nJjhuFt-kHOQXQ**,64,0,0,2,Pennsylvania,15062,Eastern Region,40.3052063,-79.54180145,2,1,4,0,9:00 AM,4,3,3,4:00 PM,4,4,3,12:00 AM (midnight),3,4,3,4,4,5,3,1,3,3,3,1,3,NA,NA,NA,2
oDtnHD95nJiOus3I8F7ZWA**,50,0,0,3,Oklahoma,74021,Southern Region,32.73190308,-96.90570068,3,1,4,1,3:00 AM,4,5,5,3:00 PM,4,5,5,12:00 AM (midnight),4,5,5,3,3,4,4,1,1,5,4,1,4,NA,NA,NA,5
oDtnHD95nJjiOglygftEPw**,50,0,0,1,Alabama,35594,Southern Region,33.96760559,-87.90239716,3,1,5,1,5:00 AM,3,3,4,2:00 PM,5,5,5,8:00 PM,5,5,5,4,4,4,3,2,3,3,5,1,4,NA,NA,NA,5
5d126e7d-b110-a1e2-1baa-d29d90d872b1,42,1,1,2,Kentucky,41042,Central Region,39.02619934,-84.44080353,2,3,4,1,7:00 AM,3,3,3,10:00 AM,3,4,3,11:00 PM,4,4,4,3,4,4,3,2,2,4,4,2,NA,6,NA,NA,6
oDtnHD95nJh0umFaOLHVPg**,28,0,1,7,Wisconsin,53004,Central Region,43.477005,-87.9611969,3,3,4,1,1:00 AM,4,5,4,4:00 PM,4,4,3,9:00 PM,4,5,4,3,3,3,4,3,4,4,5,2,NA,6,NA,NA,6
oDtnHD95nJjiuzIlkNOrKA**,37,0,0,4,Nevada,89031,Western Region,36.08610535,-115.254097,1,1,3,0,9:00 AM,3,3,3,4:00 PM,3,3,3,11:00 PM,3,3,3,3,4,3,4,4,4,3,4,3,NA,NA,11,NA,6
oDtnHD95nJhAU0rGSmTfeg**,56,0,0,1,Louisiana,70471,Southern Region,32.77870178,-96.82170105,2,2,5,1,5:00 AM,3,5,4,1:00 PM,5,5,4,10:00 PM,5,5,5,3,3,5,5,3,3,4,2,3,NA,NA,13,NA,6
oDtnHD95nJhSKmlnisG8aw**,33,0,1,4,Pennsylvania,19104,Eastern Region,39.95970154,-75.19950104,1,3,3,0,9:00 AM,1,1,1,3:00 PM,1,1,1,11:00 PM,1,1,1,3,3,3,3,3,3,3,3,1,1,NA,NA,NA,NA
oDtnHD95nJhwGt-fmezPkg**,34,1,0,1,Oklahoma,73533,Southern Region,34.62460327,-98.38950348,1,1,4,1,3:00 AM,4,4,4,5:00 PM,4,4,4,10:00 PM,5,4,4,3,4,4,2,2,2,4,5,4,NA,NA,NA,19,4
