hisp,english,spc_rand,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,weight
0,3,B,1,2,3,4,5,3,5,4,1,2,0.962417739
0,3,B,5,2,1,4,3,1,4,5,2,3,0.158323047
0,3,B,1,2,3,4,5,1,2,3,5,4,0.428106447
3,3,B,2,1,3,4,5,1,2,4,5,3,1.101703996
1,3,B,4,5,2,3,1,1,3,2,5,4,3.871872116
4,3,A,1,2,4,3,5,1,3,4,5,2,1.891117323
4,2,B,1,5,2,3,4,4,3,5,2,1,0.935542444
0,2,A,5,4,2,3,1,3,4,2,1,5,0.086849591
4,3,B,1,5,4,2,3,4,3,1,2,5,1.136439798
0,0,A,4,2,1,3,5,3,2,4,1,5,0.52641841
0,2,B,2,3,1,5,4,5,3,2,1,4,0.145996617
1,3,B,3,5,4,1,2,2,4,1,5,3,1.43190226
1,2,A,3,1,5,2,4,1,4,3,5,2,0.793487316
0,2,B,5,3,4,2,1,2,4,3,5,1,0.123939497
1,3,A,1,5,3,4,2,1,3,4,2,5,2.077147675
4,0,B,4,1,5,3,2,2,1,3,5,4,1.397416075
1,2,B,3,1,2,4,5,5,2,1,3,4,1.00068496
1,3,B,1,2,3,4,5,2,3,4,5,1,2.669113275
1,3,B,5,4,3,2,1,5,3,4,1,2,1.43190226
0,2,A,2,5,1,4,3,4,3,5,1,2,0.206244211
2,3,A,1,2,5,3,4,1,3,4,5,2,0.909096284
0,3,B,1,2,3,4,5,1,3,4,5,2,0.229666757
0,2,B,1,2,3,4,5,1,2,3,4,5,0.29918221
0,2,A,1,2,5,3,4,4,2,3,5,1,0.145996617
0,3,B,1,2,3,4,5,1,4,3,5,2,0.138014939
0,3,B,3,5,2,1,4,4,2,1,5,3,0.428106447
0,3,A,2,1,4,3,5,1,3,4,5,2,0.095141961
4,3,A,3,2,1,4,5,1,2,4,3,5,1.338688392
0,3,A,1,2,4,3,5,1,2,4,5,3,0.978308137
0,2,B,1,2,3,4,5,1,4,2,5,3,0.211785777
0,3,A,2,1,5,3,4,1,4,3,5,2,0.303048956
0,3,A,2,1,4,3,5,3,1,2,4,5,0.295119407
4,2,A,1,3,4,2,5,4,3,1,5,2,4.309911191
0,3,B,1,2,3,4,5,1,2,4,5,3,0.299992098
4,2,B,2,5,4,3,1,1,4,5,2,3,0.644925421
0,3,A,1,2,4,3,5,1,2,4,5,3,0.295119407
0,2,B,4,2,1,5,3,1,2,3,5,4,0.160502623
4,3,A,1,2,4,3,5,3,2,1,5,4,3.308496598
1,3,B,3,2,4,1,5,2,3,4,5,1,2.326745946
0,3,A,4,2,3,5,1,2,5,1,3,4,0.125541339
0,0,A,1,4,2,3,5,1,3,4,5,2,0.599410998
0,3,B,1,2,3,5,4,1,5,4,3,2,0.257264422
0,3,A,1,3,4,5,2,1,3,4,5,2,0.177347769
0,3,B,5,1,2,4,3,2,3,1,5,4,0.295119407
0,3,A,4,1,2,5,3,2,4,5,1,3,0.295119407
3,3,B,2,1,3,4,5,1,2,3,5,4,0.456392907
1,3,B,1,2,3,4,5,1,3,4,5,2,1.135418565
0,3,B,5,4,1,2,3,1,5,3,4,2,0.295119407
1,3,A,4,2,5,3,1,1,2,4,5,3,2.326745946
0,3,B,3,4,2,1,5,5,1,3,2,4,0.295119407
1,3,A,1,2,5,3,4,3,1,2,5,4,2.077147675
2,3,B,2,4,1,5,3,5,3,4,1,2,0.643533126
4,3,A,1,2,4,3,5,1,2,4,5,3,0.783415996
1,3,B,1,2,3,4,5,1,2,3,5,4,2.326745946
0,3,A,1,2,4,3,5,1,3,4,5,2,0.177347769
4,3,A,1,5,4,2,3,1,2,5,3,4,0.609667162
0,3,B,1,2,3,4,5,1,2,4,5,3,0.303048956
0,3,B,1,2,3,4,5,1,4,3,5,2,0.182112918
0,3,B,2,5,3,4,1,3,1,2,4,5,0.295119407
0,3,A,2,1,4,3,5,1,3,4,5,2,0.229666757
3,3,B,2,1,3,4,5,1,2,3,5,4,1.101703996
1,3,B,5,2,4,3,1,5,2,1,3,4,2.326745946
0,2,B,1,2,3,4,5,1,2,3,5,4,0.110644068
0,3,B,4,3,1,5,2,1,3,5,2,4,0.206802515
