age,gend,race,nws_region,follow,torwatch,torwarn,resp_ignore,resp_prot,resp_busy,resp_unsure,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,rq_4,rq_5,rq_6,edu,is_bluedot,time_taken,page_time
57,0,1,Eastern Region,5,NA,2,3,3,3,2,500,10,1,75,30,NA,NA,5,4,2,3,1,4,2,5,1,3,1,1,2,2,1,23,43
33,0,1,Western Region,3,NA,3,2,4,3,4,500,30,1,NA,,NA,NA,3,1,2,4,5,3,1,4,5,2,0,1,0,2,NA,26,63
51,0,1,Southern Region,4,NA,2,1,5,1,1,500,10,0.1,20,30,NA,NA,2,1,4,3,5,1,2,3,5,4,1,1,1,4,1,26,55
42,0,1,Western Region,4,NA,2,2,4,2,4,500,1,1,NA,,NA,NA,2,1,5,3,4,3,2,4,5,1,1,1,0,1,NA,29,58
62,0,1,Eastern Region,4,NA,2,5,5,5,1,500,100,1,NA,,NA,NA,1,2,4,3,5,1,2,3,5,4,0,0,1,4,1,40,78
28,0,1,Eastern Region,4,NA,2,1,3,4,2,500,10,1,20,35,NA,NA,1,3,2,4,5,1,3,4,5,2,0,0,0,4,NA,14,29
34,0,1,Eastern Region,4,1,NA,4,2,4,5,500,10,0.01,20,30,NA,NA,1,3,2,4,5,1,3,4,5,2,0,0,0,8,NA,15,23
54,1,1,Eastern Region,4,NA,2,1,4,4,2,500,100,1,NA,,NA,NA,4,1,5,2,3,1,2,3,4,5,0,0,1,1,NA,117,150
23,0,1,Central Region,5,NA,2,1,5,1,1,50,1,10,NA,,NA,NA,2,1,3,4,5,1,2,3,5,4,0,0,0,2,NA,12,14
21,0,1,Southern Region,5,NA,2,5,5,5,5,20,20,20,NA,,NA,NA,4,1,2,3,5,1,3,2,5,4,2,2,2,1,NA,10,12
47,0,1,Central Region,2,1,NA,2,3,1,1,500,10,1,30,25,NA,NA,1,2,4,3,5,1,2,3,5,4,0,0,0,6,NA,55,88
29,0,4,Western Region,5,2,NA,1,5,1,2,500,10,1,20,10,NA,NA,3,1,4,2,5,1,2,4,5,3,1,1,1,6,NA,12,20
36,0,1,Eastern Region,3,3,NA,4,2,3,3,50,10,100,NA,,NA,NA,3,4,5,2,1,5,3,2,1,4,0,0,0,4,NA,26,34
34,0,1,Eastern Region,5,1,NA,2,3,2,2,599,5,10,NA,,NA,NA,3,2,4,1,5,1,2,4,5,3,0,0,1,2,1,24,51
56,0,2,Southern Region,5,1,NA,2,3,2,4,600,40,20,NA,,NA,NA,4,3,2,5,1,4,3,2,1,5,0,0,0,4,NA,23,58
36,0,1,Central Region,4,NA,2,4,2,4,2,500,1,1,NA,,NA,NA,2,1,4,3,5,1,2,3,4,5,1,1,1,4,NA,13,35
31,0,1,Eastern Region,4,NA,2,2,4,2,2,500,100,1,NA,,NA,NA,1,2,4,3,5,1,2,3,4,5,0,1,2,3,NA,14,39
24,1,2,Southern Region,5,NA,2,5,5,5,5,100,23,56,NA,,NA,NA,5,2,3,4,1,5,3,4,1,2,1,0,1,2,NA,21,10
35,0,1,Southern Region,3,NA,3,4,2,3,3,500,100,1,NA,,NA,NA,2,1,4,3,5,1,2,3,5,4,0,0,0,4,NA,36,85
28,0,2,Southern Region,4,1,NA,1,5,1,1,30,60,50,NA,,NA,NA,1,2,4,3,5,3,1,4,5,2,1,1,1,4,NA,77,106
55,0,1,Central Region,2,2,NA,3,4,2,1,50,50,50,NA,,NA,NA,3,5,1,4,2,5,4,2,3,1,0,0,0,2,NA,22,51
42,1,2,Southern Region,4,NA,2,2,5,5,2,1,1,1,NA,,NA,NA,5,4,3,1,2,4,5,2,1,3,1,1,1,4,NA,11,12
28,0,1,Central Region,2,2,NA,4,2,2,2,500,5,10,NA,,NA,NA,1,2,5,3,4,1,2,4,5,3,0,1,1,2,NA,39,126
38,0,2,Southern Region,4,NA,1,1,5,1,1,509,100,10,NA,,NA,NA,1,2,4,3,5,1,3,4,5,2,0,0,0,2,1,46,58
36,0,1,Southern Region,3,1,NA,4,4,3,5,500,999,70,NA,,NA,NA,1,4,5,3,2,5,1,3,2,4,2,1,0,6,NA,20,22
34,0,1,Eastern Region,5,NA,1,1,5,1,2,50,1,1,NA,,NA,NA,3,2,1,4,5,1,3,4,5,2,0,0,1,4,NA,19,50
51,1,2,Southern Region,4,2,NA,1,5,1,1,800,10,1,NA,,NA,NA,5,4,2,3,1,4,1,3,2,5,1,1,1,7,NA,33,89
58,0,1,Western Region,4,1,NA,3,3,3,2,500,10,1,25,,50,10,1,2,3,4,5,1,3,4,5,2,0,0,0,4,NA,13,33
56,0,1,Western Region,1,NA,2,1,1,3,3,500,10,10,5,10,NA,NA,2,1,3,4,5,3,4,1,5,2,0,0,0,5,NA,51,42
40,1,2,Eastern Region,4,NA,1,4,3,5,4,3,5,45,NA,,NA,NA,3,1,2,4,5,1,4,2,5,3,1,1,1,6,NA,52,25
27,1,1,Central Region,4,2,NA,1,4,2,1,50,100,0.1,NA,,NA,NA,5,4,2,3,1,4,3,5,1,2,1,0,1,4,NA,20,42
39,1,1,Central Region,4,NA,2,1,5,2,2,10,0.01,0.01,NA,,NA,NA,3,2,4,5,1,5,2,3,1,4,1,1,1,6,NA,14,32
47,0,1,Southern Region,4,3,NA,4,3,4,4,500,800,25,NA,,NA,NA,3,2,4,1,5,2,3,4,5,1,0,0,0,2,NA,17,44
28,0,1,Southern Region,4,NA,2,3,3,3,3,50,50,50,NA,,NA,NA,2,3,4,1,5,4,1,5,2,3,0,0,2,5,NA,14,22
20,0,2,Eastern Region,3,NA,1,3,4,3,4,500,500,1,NA,,NA,NA,2,1,5,3,4,2,3,1,5,4,0,0,0,2,NA,12,15
42,0,1,Central Region,3,2,NA,3,3,3,3,4,1,50,NA,,NA,NA,1,5,3,4,2,4,3,2,5,1,2,2,2,2,NA,14,20
39,1,1,Southern Region,4,1,NA,3,2,3,3,500,10,1,20,10,NA,NA,3,1,4,2,5,1,2,3,4,5,0,0,0,6,NA,15,34
59,0,1,Southern Region,5,1,NA,2,4,3,2,500,10,1,50,3,NA,NA,2,1,4,3,5,5,1,2,4,3,0,0,0,2,NA,30,57
33,0,1,Southern Region,3,2,NA,3,4,1,5,45,5,20,NA,,NA,NA,1,4,5,2,3,2,5,4,1,3,1,2,1,2,NA,14,10
39,1,2,Central Region,4,1,NA,2,2,2,2,500,10,10,10,30,NA,NA,2,1,5,3,4,1,2,3,4,5,0,0,0,2,NA,27,31
47,0,1,Central Region,5,2,NA,2,4,1,1,45,10,10,NA,,NA,NA,2,1,5,4,3,1,2,3,4,5,0,1,1,6,NA,18,48
21,0,2,Eastern Region,3,NA,2,3,3,2,3,100,7,5,NA,,NA,NA,3,1,4,2,5,2,1,5,4,3,0,0,0,2,NA,18,66
47,0,5,Southern Region,4,NA,2,3,1,4,1,500,1,1,NA,,NA,NA,2,1,4,5,3,2,1,4,5,3,2,0,0,4,NA,26,95
24,0,5,Eastern Region,4,1,NA,5,2,4,3,1000,5,1,NA,,NA,NA,2,4,1,3,5,3,1,2,4,5,0,0,0,2,NA,42,167
23,0,1,Southern Region,4,NA,NA,4,4,3,3,45,60,25,NA,,NA,NA,2,3,1,4,5,5,1,4,3,2,2,2,1,2,NA,20,45
19,1,4,Central Region,NA,NA,2,3,3,3,3,2,5,10,NA,,NA,NA,4,1,3,2,5,1,2,3,5,4,2,0,2,4,NA,32,13
67,1,1,Eastern Region,2,1,NA,4,2,3,2,500,10,0.1,10,30,NA,NA,1,2,5,3,4,1,2,3,4,5,0,0,0,4,NA,75,30
64,0,1,Southern Region,5,1,NA,4,3,1,2,500,10,0.1,10,30,NA,NA,1,2,5,3,4,1,2,3,5,4,0,0,0,6,1,48,67
45,1,2,Southern Region,3,3,NA,3,3,3,3,2,1,2,NA,,NA,NA,2,5,4,3,1,2,1,4,5,3,2,2,2,2,NA,16,27
64,0,1,Central Region,3,2,NA,2,3,4,3,500,1,1,NA,,NA,NA,4,5,2,3,1,5,3,4,1,2,0,0,0,6,1,14,29
72,0,1,Southern Region,4,1,NA,2,4,2,2,500,10,0.1,25,,20,NA,1,2,4,3,5,1,2,3,5,4,0,0,0,8,1,45,73
71,0,1,Eastern Region,4,1,NA,2,3,3,3,500,1,1,NA,,NA,NA,2,1,4,3,5,3,2,1,5,4,0,0,0,3,1,34,84
75,1,1,Southern Region,3,NA,2,2,4,2,2,500,10,0.1,40,30,NA,NA,1,2,4,3,5,2,3,4,5,1,0,0,0,6,NA,24,59
70,0,1,Western Region,4,NA,2,1,4,1,2,500,10,0.1,20,30,NA,NA,1,2,4,3,5,1,4,3,5,2,1,1,1,6,1,41,55
52,0,1,Eastern Region,NA,1,NA,3,3,3,3,0,0,0,NA,,NA,NA,4,5,2,3,1,3,4,2,1,5,0,1,0,6,NA,12,32
23,0,2,Southern Region,5,2,NA,4,5,4,5,500,50,30,NA,,NA,NA,4,1,2,3,5,1,2,4,5,3,2,0,1,5,NA,19,24
55,0,1,Southern Region,4,1,NA,3,3,3,3,500,100,1,NA,,NA,NA,4,1,3,2,5,1,2,3,5,4,0,1,0,6,NA,166,53
48,0,1,Central Region,4,1,NA,5,1,4,2,500,10,0.001,10,25,NA,NA,2,1,4,3,5,1,2,3,5,4,0,0,0,7,NA,17,30
51,0,1,Western Region,4,1,NA,2,4,2,2,60,10,1,NA,,NA,NA,1,2,4,3,5,2,3,4,5,1,0,0,0,2,1,26,180
27,0,2,Western Region,3,NA,2,2,3,4,2,20,37,100,NA,,NA,NA,4,3,5,2,1,3,2,5,1,4,1,1,1,4,NA,16,12
56,1,1,Central Region,4,1,NA,1,5,1,1,500,10,0.1,40,30,NA,NA,2,1,4,3,5,1,2,3,5,4,1,1,1,7,NA,45,NA
59,0,1,Central Region,4,NA,2,1,4,1,4,500,500,50,NA,,NA,NA,2,3,4,1,5,2,3,5,4,1,1,1,1,4,NA,13,10
57,0,1,Eastern Region,4,1,NA,1,2,3,4,500,10,10,1,50,NA,NA,3,1,2,4,5,2,1,4,5,3,0,1,0,4,NA,46,80
27,0,7,Southern Region,3,NA,NA,3,4,3,3,18,0,0,NA,,NA,NA,2,1,5,3,4,4,3,1,2,5,0,0,1,2,NA,45,NA
