CWA,zip,p_id,location,state,adults,risk_wind,risk_rain,risk_heat,risk_drought,risk_cold,risk_snow,risk_tor,risk_flood,risk_hur,risk_fire,sample,latitude,longitude,WFO,LON,LAT,CWA_REGION,FullStaId,CityState,City,State,ST,MALE,AGE,AGE_GROUP,HISP,RACE_GROUP,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
ABQ,87112,EPO7G2R5BZTSF794M8,NA,New Mexico,2,3,2,3,4,2,2,2,2,2,3,WX,35.100796,-106.52067,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,27,1,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87112,EPO78LXG6S5FSX24M3,NA,New Mexico,2,3,3,4,5,3,2,1,3,1,5,WX,35.100796,-106.52067,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,21,1,1,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87121,EPO7F8MLYHVTB2B4M8,NA,New Mexico,2,4,2,5,5,2,3,2,2,1,5,WX,35.051247,-106.74258,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,27,1,1,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87031,EPO78CTRLKZPYY74M7,NA,New Mexico,4,4,2,4,4,2,1,2,2,1,4,WX,34.786133,-106.70536,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,21,1,1,3,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87059,EPO7FJRNDRMBWL74M8,NA,New Mexico,1,3,3,4,5,2,3,2,2,1,5,WX,35.017604,-106.31044,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,69,3,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87144,EPO79499ZKLQKQB4M2,NA,New Mexico,2,4,4,4,5,4,3,1,4,1,4,WX,35.295331,-106.645081,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,42,2,1,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87015,EPO7FZZXGNTG3TX4M4,NA,New Mexico,2,5,4,5,5,3,3,2,2,1,5,WX,35.075777,-106.19155,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,36,2,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87107,EPO7B792SGZL5QG4M6,NA,New Mexico,2,3,3,5,5,2,2,2,2,1,2,WX,35.134094,-106.64073,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,69,3,1,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87109,EPO7FRS8RF8H6WD4M1,NA,New Mexico,2,4,4,5,4,5,5,4,5,5,4,WX,35.155811,-106.56662,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,34,1,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87021,EPO79YRVCN8VXYZ4M0,NA,New Mexico,1,3,4,4,4,2,4,2,3,1,5,WX,35.192539,-107.893691,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,72,3,1,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABR,57201,1389149630,1,South Dakota,4,4,4,3,4,5,5,4,3,2,3,WX,44.916657,-97.11346,ABR,-99.15786876,45.05594,CR,KABR,Aberdeen SD,Aberdeen,South Dakota,SD,0,48,2,0,1,1.9168403881611062,-0.3576604919484107,-0.1970471742911856,-0.3936193271027851,-0.5130928251706659,-0.09460305476336975,-0.07070103838846677,0.7257614813901122
