"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","five_days","three_days","two_days","one_day","zero_day","income","edu","nws_region","WW"
"62a768fe-d324-27c4-a5e3-745428f44fe6",61,5,1,0,1,3,2,4,1,5,6,1,1,5,2,4,2,6,"Eastern Region",35.2941176470588
"62a768ed-ad0b-19f6-9128-067119206ffe",58,5,0,1,1,5,2,1,3,4,6,3,3,3,3,1,2,5,"Eastern Region",35.2941176470588
"62a76a45-5946-e6fd-3b4a-c5035bb18a41",62,5,0,0,1,5,2,3,1,4,6,1,2,3,5,4,1,2,"Eastern Region",41.3235294117647
"62a76bf9-7b53-f279-172d-03f650c19ad7",55,5,1,0,1,1,1,1,1,1,1,3,4,5,4,4,1,6,"Eastern Region",41.3235294117647
"7239495",24,1,0,0,1,NA,NA,NA,NA,NA,NA,1,2,4,2,6,1,4,"Eastern Region",41.3235294117647
"62a8d9c3-15b8-b0e7-0329-36c54748327a",48,4,0,0,1,2,1,5,3,4,6,3,3,3,1,4,2,6,"Eastern Region",41.3235294117647
"2250685",40,3,1,0,1,5,1,4,3,2,6,3,5,1,4,2,2,6,"Eastern Region",35.2941176470588
"7177251",21,1,0,0,1,3,1,2,5,4,6,4,5,3,1,2,4,6,"Eastern Region",35.2941176470588
"6911651",39,3,1,0,1,3,6,5,4,2,1,2,3,4,4,1,2,5,"Eastern Region",35.2941176470588
"6987878",51,4,1,0,1,3,2,4,1,6,5,3,2,4,4,4,3,3,"Eastern Region",35.2941176470588
"62a8d08c-8c73-9177-f422-7b17e98b01be",85,6,1,0,1,3,2,1,4,5,6,2,3,1,4,5,1,6,"Eastern Region",35.2941176470588
"62a76877-08d8-ff79-9f52-25682550467b",70,6,0,0,1,4,1,3,2,6,5,4,3,2,1,6,1,2,"Eastern Region",35.2941176470588
"62a92b02-35e1-fb60-5999-e259eb38099d",50,4,0,0,1,1,3,2,4,5,6,2,2,2,2,1,1,7,"Eastern Region",35.2941176470588
"7256503",26,2,0,0,1,2,4,3,1,5,6,4,1,3,4,5,2,6,"Eastern Region",35.2941176470588
"62a8c836-5201-e198-506f-88b012419a3b",75,6,1,0,1,4,1,3,2,5,6,3,3,4,1,4,1,6,"Eastern Region",35.2941176470588
"62a8dd1b-dd34-ae9c-d67a-aad684e6dcf8",74,6,0,0,1,2,1,4,5,3,6,1,2,4,5,NA,2,7,"Eastern Region",35.2941176470588
"62a76c61-0a79-1206-2009-b5fee855b963",55,5,1,0,2,5,3,6,2,4,1,5,6,2,4,1,1,2,"Eastern Region",35.2941176470588
"7441157",19,1,1,0,1,1,3,4,2,5,6,1,4,2,3,5,4,4,"Eastern Region",35.2941176470588
"62a8c180-c5a9-a8c8-8607-da6ee19edea0",33,2,0,0,1,2,1,5,4,6,3,4,4,3,3,2,1,4,"Eastern Region",35.2941176470588
"62a8d118-5ffe-a0b7-9c58-73812b946b8b",73,6,1,0,1,2,3,4,1,5,6,3,1,5,4,4,3,6,"Eastern Region",35.2941176470588
"7441910",21,1,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,2,3,4,1,"Eastern Region",35.2941176470588
"62a8d159-b944-d3e6-8dff-416cec7bd83f",76,6,1,0,1,3,2,4,1,6,5,2,1,3,4,4,1,4,"Eastern Region",35.2941176470588
"62a8d48b-7771-1b3f-bece-5e9c66e69a5c",36,3,0,0,1,1,3,2,4,5,6,3,3,3,2,4,1,3,"Eastern Region",35.2941176470588
"3052557",44,3,1,0,1,1,2,4,3,5,6,1,3,2,2,4,3,6,"Eastern Region",NA
"7397950",29,2,1,1,1,NA,NA,NA,NA,NA,NA,3,3,4,5,6,1,2,"Eastern Region",35.2941176470588
"6307007",54,4,1,0,1,1,3,4,2,5,6,3,6,2,4,5,1,5,"Eastern Region",35.2941176470588
"62a8c16d-e1e7-fa26-3e16-132d3b5e1817",74,6,1,0,1,4,2,1,3,5,6,3,1,1,1,4,1,4,"Eastern Region",35.2941176470588
"6986046",59,5,1,0,1,4,2,1,3,5,6,3,1,2,4,5,1,2,"Eastern Region",35.2941176470588
"7344779",23,1,0,0,1,4,3,1,2,5,6,3,3,4,5,2,2,6,"Eastern Region",42.2058823529412
"7296897",18,1,0,0,2,1,2,5,4,3,6,2,4,5,3,5,1,2,"Eastern Region",42.2058823529412
"62a8e0f8-c5b1-958a-b802-75c3e401552d",59,5,1,0,2,4,1,6,2,3,5,3,2,4,5,6,2,4,"Eastern Region",42.2058823529412
"4714752",39,3,1,0,2,1,3,4,2,5,6,3,5,4,2,1,1,1,"Eastern Region",42.2058823529412
