"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","three_days","one_day","four_hours","sixty_min","fifteen_min","income","edu","nws_region","WX"
"60c8e64b-5840-110a-f8b8-052f86231caa",59,5,1,0,1,1,2,5,4,6,3,2,1,1,1,1,2,3,"Eastern Region",27.5
"60c8d8e6-769d-0c38-aea3-0ea0b8f14114",79,6,1,0,1,3,1,2,4,5,6,1,3,2,4,1,2,7,"Eastern Region",27.5
"60ca3247-7324-cbc9-95bd-654408a6c789",31,2,0,0,1,5,4,6,3,2,1,1,5,6,6,6,1,4,"Eastern Region",27.5
"60c0cf5a-9159-d09d-7b5d-8e37f0546a66",73,6,0,0,1,1,3,2,4,5,6,4,4,3,1,4,2,6,"Eastern Region",24.2647058823529
"60ca4b6d-e5a2-cf97-784f-640b30e9c6e0",18,1,0,0,1,1,2,6,3,5,4,1,2,4,5,6,2,6,"Eastern Region",24.2647058823529
"60ca31f5-15af-a2ee-6528-1f05b5b618f9",18,1,0,0,1,3,6,5,4,2,1,3,2,1,4,6,2,2,"Eastern Region",24.2647058823529
"60c93e0d-1d99-7ff1-38c6-fc8b8695c022",34,2,1,0,1,NA,NA,NA,NA,NA,NA,4,4,4,4,4,1,2,"Eastern Region",24.2647058823529
"60ca2715-9abe-eac6-8443-ed0088cc7380",63,5,0,0,1,1,5,2,3,4,6,1,2,3,1,4,2,5,"Eastern Region",24.2647058823529
"60c92b40-5b90-2a4c-2b2b-742c389634f6",33,2,1,0,1,3,2,1,4,5,6,3,1,4,1,6,1,1,"Eastern Region",24.2647058823529
"60ca39ba-28ba-f4e9-18b2-9e43c2651c49",48,4,0,0,1,NA,NA,NA,NA,NA,NA,2,1,4,4,6,1,2,"Eastern Region",24.2647058823529
"60c8e4e9-f925-d0c6-2dd3-d489d735db12",51,4,1,0,1,1,5,4,2,3,6,1,1,4,6,6,1,2,"Eastern Region",24.2647058823529
"60c91434-0a86-ef44-4912-35efa774a01d",31,2,1,0,1,1,3,6,2,5,4,1,1,4,4,5,1,4,"Eastern Region",24.2647058823529
"60c91579-8252-f4e8-9b7c-87a4e2c705ee",43,3,1,0,1,1,2,3,4,5,6,3,2,1,4,5,1,2,"Eastern Region",24.2647058823529
"60ca42f5-cd24-cf03-0bcd-04f33bcaca6c",34,2,0,0,1,3,2,1,4,6,5,4,6,2,5,1,1,4,"Eastern Region",24.2647058823529
"60ca4815-64fa-34de-6b49-a87e7662a39e",52,4,0,0,1,1,2,3,4,5,6,1,3,4,5,6,1,4,"Eastern Region",18.9705882352941
"60c0d413-978e-2fd4-4d71-514b38c80f4e",85,6,0,0,1,NA,NA,NA,NA,NA,NA,6,6,6,6,6,1,2,"Eastern Region",18.9705882352941
"60c8e783-db04-4858-78f0-ff3319e9a2c4",40,3,1,0,1,2,4,1,3,6,5,3,3,4,2,6,1,4,"Eastern Region",18.9705882352941
"60c73033-e5b3-c72d-d8fb-cd2c5d035897",67,6,0,0,1,NA,NA,NA,NA,NA,NA,1,1,1,3,1,1,7,"Eastern Region",27.5
"60ca2da3-e41d-7beb-594b-a74744f7d904",56,5,0,0,1,2,3,1,5,6,4,1,4,6,6,6,2,3,"Eastern Region",27.5
"60c3bbf3-d97c-0f3e-1aed-1d8c42d28f0a",63,5,0,1,1,NA,NA,NA,NA,NA,NA,3,4,5,1,6,1,5,"Eastern Region",27.5
"60c8ea4e-112c-fd63-d2da-c62f34c1d327",52,4,1,0,1,1,3,2,5,4,6,2,3,1,4,5,4,6,"Eastern Region",27.5
"60ca3fe4-4b66-48c8-0a85-cd8c51809b3a",32,2,0,0,1,1,3,2,4,5,6,3,1,4,5,6,1,4,"Eastern Region",27.5
"60c54129-fd88-55f8-dd1c-3a2178f944ea",28,2,0,1,1,3,5,1,6,2,4,3,2,2,3,2,2,6,"Eastern Region",27.5
"60c223f8-452b-bee4-cae4-a586f221e10a",23,1,0,1,2,3,1,2,4,5,6,1,4,5,5,1,1,4,"Eastern Region",27.5
"60ca26d9-8e86-2de8-2bf4-f38276f78908",31,2,0,0,1,1,2,4,3,6,5,3,2,5,2,1,1,4,"Eastern Region",27.5
"60c8ef30-ad86-8230-8126-82bddd102f90",27,2,1,0,1,3,2,1,4,5,6,3,3,1,4,4,2,6,"Eastern Region",25.8823529411765
"60ca3b02-6bf5-e719-d2d9-3b871f754ae4",61,5,0,0,1,NA,NA,NA,NA,NA,NA,3,2,4,6,6,2,5,"Eastern Region",25.8823529411765
"60c94416-6e17-1bf0-ea38-3763ce339793",58,5,1,0,1,2,3,6,1,5,4,3,3,3,3,3,2,7,"Eastern Region",25.8823529411765
"60ca27dc-fea4-38c1-08a0-e8a72d542147",44,3,0,0,1,6,1,4,3,2,5,6,1,2,4,5,4,6,"Eastern Region",25.8823529411765
"60c0cfb5-74ef-8089-2dc6-be88b245a772",69,6,0,1,1,2,1,3,4,5,6,3,2,1,4,4,1,6,"Eastern Region",25.8823529411765
"60c8e50c-c263-fd1b-d43f-5b5989d20998",86,6,0,0,1,2,1,6,3,5,4,2,4,5,6,6,1,4,"Eastern Region",25.8823529411765
"60ca3706-3d92-dacc-8254-80b39d204ada",57,5,0,0,1,3,2,4,1,6,5,1,4,5,2,4,1,4,"Eastern Region",25.8823529411765
"60c17aa4-4994-5fea-93fe-1fd58ee19ddb",18,1,0,1,1,4,3,1,5,6,2,3,2,4,5,1,1,2,"Eastern Region",25.8823529411765
"60c7ca78-9aca-57f2-0fcc-c5691645d535",37,3,0,0,2,2,3,1,5,6,4,4,4,5,5,3,1,3,"Eastern Region",25.8823529411765
