"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","five_days","three_days","two_days","one_day","income","edu","nws_region","TC"
"60d9a8ba-d4b7-86e6-ca46-688ee2b010d2",67,6,0,0,1,1,5,3,4,6,2,4,1,1,1,1,7,"Eastern Region",2.05882352941176
"60d20ed6-3626-0d91-54a2-0b6e6c65aa53",68,6,1,1,1,1,3,2,4,6,5,3,3,5,6,2,4,"Eastern Region",2.05882352941176
"60d9fd7c-5ead-b42e-13ce-112e31a8aaa7",52,4,1,0,1,1,5,2,4,3,6,4,1,2,4,4,6,"Eastern Region",2.05882352941176
"60d5e930-d460-7bfb-f033-ff60e591b4aa",32,2,0,0,2,6,5,4,3,2,1,3,5,1,4,NA,6,"Eastern Region",2.05882352941176
"60d40164-e6e8-9516-6887-81f563ece4db",48,4,0,1,1,6,3,4,5,2,1,4,5,3,4,2,3,"Eastern Region",2.05882352941176
"60d28226-91ea-dfd0-d7f0-62da484506e5",44,3,0,1,1,NA,NA,NA,NA,NA,NA,4,2,1,3,3,5,"Eastern Region",2.05882352941176
"60d9e831-22d2-11e1-c678-ff112469abd7",67,6,1,0,1,5,2,6,3,4,1,3,1,1,1,2,5,"Eastern Region",2.05882352941176
"60d9e457-3553-73d5-7b8a-cb40b20080b1",32,2,1,0,1,6,4,1,5,2,3,4,4,2,1,2,5,"Eastern Region",2.05882352941176
"60d4b431-d432-c9ba-c3d5-5fdbae6c72de",45,4,0,1,1,2,5,3,4,1,6,NA,5,6,5,1,5,"Eastern Region",2.05882352941176
"60d9ef16-31b5-effe-7800-86a5f5feda4a",75,6,1,0,1,1,4,6,2,3,5,1,1,2,4,4,7,"Eastern Region",2.05882352941176
"60d208bb-1849-4cc8-82b8-45bea5a18d7c",80,6,1,0,1,2,4,1,3,5,6,3,2,6,1,3,2,"Eastern Region",2.05882352941176
"60d3fc39-a4a7-3918-d4fd-3e85d0d8dddf",31,2,0,1,1,1,3,4,2,5,6,1,1,2,4,2,7,"Eastern Region",2.05882352941176
"60d347d2-eabd-a928-9911-57eb27f20252",18,1,0,1,3,2,5,6,1,4,3,4,1,6,2,1,2,"Eastern Region",2.05882352941176
"60d34fca-8467-4fa2-590a-7d3ae75e8e7f",41,3,0,1,1,1,2,6,3,4,5,2,1,2,4,2,8,"Eastern Region",2.05882352941176
"60d9eeda-e807-2115-f757-30e7e7a8ca2d",40,3,1,0,1,NA,NA,NA,NA,NA,NA,1,2,3,5,2,7,"Eastern Region",2.05882352941176
"60d5e832-3697-7d8e-4ec2-292072920272",25,2,0,0,2,1,3,4,6,5,2,4,5,4,3,1,6,"Eastern Region",2.05882352941176
"60d610a3-f43c-3f8e-9da3-0416271555df",35,3,0,0,4,5,3,1,4,2,6,2,4,2,3,2,6,"Eastern Region",2.05882352941176
"60d38395-9ff9-f30b-5bec-dcd627896f5e",39,3,0,1,7,1,4,3,2,5,6,2,4,1,6,3,4,"Eastern Region",2.05882352941176
"60d9ef93-52b5-6927-4365-d6a954eb4290",41,3,1,0,1,3,1,4,2,6,5,5,2,1,6,3,7,"Eastern Region",2.05882352941176
"60d9e26a-e87c-ad3d-f226-532e175d4233",29,2,1,0,1,2,3,4,1,5,6,4,3,1,1,2,2,"Eastern Region",2.05882352941176
"60d9efb3-e9bc-256d-143e-9276473a4fda",68,6,1,0,1,3,4,6,1,2,5,1,2,5,3,1,4,"Eastern Region",2.05882352941176
"60d49ff9-e8d1-d228-4187-bcfa6ba0a7f2",44,3,1,0,2,3,2,4,5,1,6,3,1,4,2,1,4,"Eastern Region",2.05882352941176
"60d5ea3d-321d-9e2f-9712-6f64fcf23755",34,2,1,0,4,4,3,5,2,1,6,3,2,1,5,3,6,"Eastern Region",2.05882352941176
"60d9e656-aee8-0619-70c7-d7e66a22954f",57,5,1,0,1,4,1,5,3,2,6,2,2,2,4,3,6,"Eastern Region",2.20588235294118
"60d20a02-b88c-8557-1ca5-e4f25f916752",57,5,1,0,1,NA,NA,NA,NA,NA,NA,3,1,4,5,4,4,"Eastern Region",2.05882352941176
"60d9f08b-8532-1659-6f67-940ce2f488e7",74,6,1,0,1,2,1,3,4,5,6,3,1,2,2,4,4,"Eastern Region",2.05882352941176
"60db590a-e6d3-09e9-a743-5de9357bc0a8",60,5,0,0,1,1,2,3,4,5,6,1,2,5,3,1,7,"Eastern Region",2.20588235294118
"60d20f71-bde6-c3f2-fb39-a1ab9c3c007d",71,6,1,0,1,4,5,3,2,6,1,3,3,4,2,1,6,"Eastern Region",NA
"60d9edba-03e6-fd0b-efdd-475d9aa93851",63,5,1,0,1,3,2,4,5,1,6,3,3,2,3,1,4,"Eastern Region",2.20588235294118
"60db4e69-bd77-498e-d433-7a8f0c058d59",54,4,0,0,1,5,2,6,3,1,4,2,1,6,4,2,2,"Eastern Region",2.20588235294118
"60d9e31d-ad4d-ca12-066f-a94834ddbfeb",28,2,1,0,1,5,4,2,6,3,1,4,1,2,1,1,4,"Eastern Region",2.20588235294118
"60da01e9-e609-4847-8f02-8c091300c1a2",22,1,1,0,1,NA,NA,NA,NA,NA,NA,4,3,3,2,3,4,"Eastern Region",2.20588235294118
"60d3a5ef-df52-92e6-b59e-e8ba285490d5",60,5,0,0,2,2,3,1,5,6,4,2,1,3,4,4,7,"Eastern Region",2.20588235294118
"60d9f020-bd82-7e0e-6bdf-79a27b27d104",71,6,1,0,1,2,3,4,1,5,6,2,1,4,2,3,5,"Eastern Region",2.20588235294118
