MapDate,WeatherForecastOffice,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20081230,ABQ,57.06,42.94,2.07,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,ABR,100.00,0.00,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,AFC,100.00,0.00,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,AFG,61.92,38.08,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,AJK,100.00,0.00,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,AKQ,100.00,0.00,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,ALY,100.00,0.00,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,AMA,85.60,14.40,0.80,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,APX,92.67,7.33,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,ARX,23.35,76.65,56.60,12.28,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BGM,100.00,0.00,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BIS,64.82,35.18,22.50,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BMX,61.96,38.04,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BOI,9.56,90.44,48.16,1.61,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BOU,16.97,83.03,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BOX,100.00,0.00,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BRO,29.30,70.70,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BTV,100.00,0.00,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BUF,99.87,0.13,0.00,0.00,0.00,0.00,2008-12-30,2009-01-05,1
20081230,BYZ,73.89,26.11,0.55,0.00,0.00,0.00,2008-12-30,2009-01-05,1
