MapDate,WeatherForecastOffice,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20161227,ABQ,59.15,40.85,5.91,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,ABR,94.66,5.34,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,AFC,90.83,9.17,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,AFG,91.06,8.94,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,AJK,92.52,7.48,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,AKQ,76.22,23.78,0.37,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,ALY,0.23,99.77,60.17,19.08,7.12,0.00,2016-12-27,2017-01-02,1
20161227,AMA,17.45,82.55,49.09,28.33,0.00,0.00,2016-12-27,2017-01-02,1
20161227,APX,100.00,0.00,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,ARX,100.00,0.00,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,BGM,23.41,76.59,28.10,5.16,1.00,0.00,2016-12-27,2017-01-02,1
20161227,BIS,91.53,8.47,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,BMX,0.00,100.00,100.00,98.48,77.09,33.89,2016-12-27,2017-01-02,1
20161227,BOI,45.55,54.45,9.24,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,BOU,0.00,100.00,59.43,7.63,0.00,0.00,2016-12-27,2017-01-02,1
20161227,BOX,0.50,99.50,98.55,64.47,36.80,0.00,2016-12-27,2017-01-02,1
20161227,BRO,59.65,40.35,1.43,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,BTV,2.29,97.71,64.16,1.58,0.00,0.00,2016-12-27,2017-01-02,1
20161227,BUF,42.82,57.18,8.05,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,BYZ,75.28,24.72,3.97,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161227,CAE,8.81,91.19,54.51,17.32,5.92,0.10,2016-12-27,2017-01-02,1
20161227,CAR,34.64,65.36,52.11,7.92,0.00,0.00,2016-12-27,2017-01-02,1
20161227,CHS,38.65,61.35,5.01,0.00,0.00,0.00,2016-12-27,2017-01-02,1
