MapDate,WeatherForecastOffice,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20111227,ABQ,11.95,88.05,82.84,67.43,18.05,1.58,2011-12-27,2012-01-02,1
20111227,ABR,42.10,57.90,14.95,2.94,0.00,0.00,2011-12-27,2012-01-02,1
20111227,AFC,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,AFG,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,AJK,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,AKQ,84.94,15.06,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,ALY,94.42,5.58,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,AMA,0.00,100.00,93.76,67.16,30.04,8.35,2011-12-27,2012-01-02,1
20111227,APX,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,ARX,58.25,41.75,12.82,3.22,0.00,0.00,2011-12-27,2012-01-02,1
20111227,BGM,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,BIS,35.87,64.13,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,BMX,42.30,57.70,46.25,26.79,16.80,0.00,2011-12-27,2012-01-02,1
20111227,BOI,1.24,98.76,8.47,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,BOU,91.96,8.04,2.84,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,BOX,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,BRO,0.00,100.00,100.00,100.00,100.00,47.30,2011-12-27,2012-01-02,1
20111227,BTV,62.57,37.43,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,BUF,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,BYZ,89.84,10.16,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,CAE,2.18,97.82,86.16,51.73,28.98,0.00,2011-12-27,2012-01-02,1
20111227,CAR,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,CHS,0.00,100.00,100.00,82.48,66.76,0.00,2011-12-27,2012-01-02,1
20111227,CLE,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,CRP,0.00,100.00,100.00,100.00,100.00,64.80,2011-12-27,2012-01-02,1
20111227,CTP,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,CYS,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,DDC,6.35,93.65,85.34,61.99,41.13,0.79,2011-12-27,2012-01-02,1
20111227,DLH,0.00,100.00,36.88,13.86,0.00,0.00,2011-12-27,2012-01-02,1
20111227,DMX,59.20,40.80,31.03,24.33,0.00,0.00,2011-12-27,2012-01-02,1
20111227,DTX,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,DVN,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,EAX,97.01,2.99,0.12,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,EKA,0.00,100.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,EPZ,0.00,100.00,100.00,77.08,22.41,10.00,2011-12-27,2012-01-02,1
20111227,EWX,0.00,100.00,100.00,98.03,91.43,43.30,2011-12-27,2012-01-02,1
20111227,FFC,20.27,79.73,75.49,71.26,62.57,0.00,2011-12-27,2012-01-02,1
20111227,FGF,0.00,100.00,41.81,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,FGZ,14.40,85.60,58.54,23.90,6.28,0.00,2011-12-27,2012-01-02,1
20111227,FSD,6.20,93.80,65.65,44.15,0.00,0.00,2011-12-27,2012-01-02,1
20111227,FWD,0.00,100.00,94.09,47.27,20.80,11.60,2011-12-27,2012-01-02,1
20111227,GGW,84.38,15.62,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,GID,69.24,30.76,16.31,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,GJT,90.58,9.42,0.52,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,GLD,93.45,6.55,0.17,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,GRB,74.54,25.46,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,GRR,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,GSP,57.78,42.22,30.76,21.03,11.17,0.00,2011-12-27,2012-01-02,1
20111227,GYX,99.93,0.07,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,HFO,43.14,56.86,48.01,28.83,1.74,0.00,2011-12-27,2012-01-02,1
20111227,HGX,0.00,100.00,100.00,100.00,96.27,58.21,2011-12-27,2012-01-02,1
20111227,HNX,39.64,60.36,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,HUN,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,ICT,5.74,94.26,80.73,24.07,5.94,0.00,2011-12-27,2012-01-02,1
20111227,ILM,0.00,100.00,79.94,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,ILN,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,ILX,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,IND,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,IWX,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,JAN,81.18,18.82,6.29,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,JAX,9.59,90.41,65.18,43.10,21.37,0.00,2011-12-27,2012-01-02,1
20111227,JKL,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,KEY,97.69,2.31,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,LBF,89.61,10.39,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,LCH,0.00,100.00,98.74,83.05,46.42,7.42,2011-12-27,2012-01-02,1
20111227,LIX,9.96,90.04,75.48,35.13,0.00,0.00,2011-12-27,2012-01-02,1
20111227,LKN,18.57,81.43,5.50,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,LMK,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,LOT,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,LOX,99.26,0.74,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111227,LSX,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
