MapDate,WeatherForecastOffice,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20171226,ABQ,0.29,99.71,33.35,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,ABR,13.08,86.92,47.92,4.44,0.00,0.00,2017-12-26,2018-01-01,1
20171226,AFC,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,AFG,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,AJK,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,AKQ,8.15,91.85,23.39,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,ALY,66.31,33.69,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,AMA,0.00,100.00,82.09,7.70,0.00,0.00,2017-12-26,2018-01-01,1
20171226,APX,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,ARX,88.87,11.13,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BGM,56.28,43.72,9.99,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BIS,0.00,100.00,83.18,6.17,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BMX,33.26,66.74,18.24,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BOI,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BOU,21.65,78.35,0.68,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BOX,98.39,1.61,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BRO,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BTV,92.27,7.73,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BUF,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,BYZ,40.55,59.45,49.64,8.30,0.00,0.00,2017-12-26,2018-01-01,1
20171226,CAE,28.78,71.22,28.94,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,CAR,96.35,3.65,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,CHS,27.08,72.92,32.60,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,CLE,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,CRP,92.67,7.33,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,CTP,67.42,32.58,5.78,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,CYS,34.43,65.57,3.95,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,DDC,0.00,100.00,77.13,29.03,0.00,0.00,2017-12-26,2018-01-01,1
20171226,DLH,92.71,7.29,3.44,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,DMX,29.06,70.94,9.58,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,DTX,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,DVN,25.84,74.16,9.25,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,EAX,0.00,100.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,EKA,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,EPZ,26.69,73.31,21.97,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,EWX,53.59,46.41,6.05,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,FFC,47.81,52.19,13.35,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,FGF,55.17,44.83,0.64,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,FGZ,0.00,100.00,100.00,2.64,0.00,0.00,2017-12-26,2018-01-01,1
20171226,FSD,16.89,83.11,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,FWD,0.02,99.98,55.82,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,GGW,0.00,100.00,100.00,88.91,48.05,0.00,2017-12-26,2018-01-01,1
20171226,GID,0.00,100.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,GJT,0.44,99.56,79.17,7.06,0.00,0.00,2017-12-26,2018-01-01,1
20171226,GLD,0.00,100.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,GRB,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,GRR,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,GSP,61.47,38.53,20.73,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,GYX,91.71,8.29,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,HFO,53.24,46.76,21.92,0.95,0.00,0.00,2017-12-26,2018-01-01,1
20171226,HGX,67.38,32.62,2.91,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,HNX,49.96,50.04,1.06,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,HUN,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,ICT,0.00,100.00,44.56,2.67,0.00,0.00,2017-12-26,2018-01-01,1
20171226,ILM,34.54,65.46,5.82,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,ILN,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,ILX,57.56,42.44,13.66,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,IND,90.33,9.67,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,IWX,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,JAN,9.42,90.58,69.94,8.73,0.00,0.00,2017-12-26,2018-01-01,1
20171226,JAX,53.84,46.16,32.66,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,JKL,91.47,8.53,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,KEY,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LBF,17.38,82.62,0.48,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LCH,43.44,56.56,48.17,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LIX,76.00,24.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LKN,82.69,17.31,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LMK,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LOT,97.96,2.04,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LOX,1.13,98.87,67.56,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LSX,0.24,99.76,67.03,27.19,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LUB,0.00,100.00,94.26,20.08,0.22,0.00,2017-12-26,2018-01-01,1
20171226,LWX,13.99,86.01,45.88,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,LZK,2.25,97.75,69.04,13.84,3.82,0.00,2017-12-26,2018-01-01,1
20171226,MAF,62.45,37.55,1.21,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MEG,68.08,31.92,10.46,0.41,0.10,0.00,2017-12-26,2018-01-01,1
20171226,MFL,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MFR,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MHX,0.00,100.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MKX,99.61,0.39,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MLB,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MOB,27.44,72.56,3.65,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MPX,99.45,0.55,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MQT,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MRX,90.94,9.06,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MSO,72.16,27.84,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,MTR,75.71,24.29,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,OAX,12.26,87.74,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,OHX,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,OKX,63.84,36.16,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,OTX,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,OUN,0.00,100.00,81.49,29.91,0.51,0.00,2017-12-26,2018-01-01,1
20171226,PAH,58.27,41.73,17.66,8.34,0.00,0.00,2017-12-26,2018-01-01,1
20171226,PBZ,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,PDT,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,PHI,51.52,48.48,3.53,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,PIH,99.93,0.07,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,PQR,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,PSR,0.00,100.00,91.91,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,PUB,3.34,96.66,7.29,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,RAH,0.00,100.00,58.55,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,REV,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,RIW,91.26,8.74,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,RLX,91.14,8.86,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,RNK,10.46,89.54,45.32,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,SEW,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,SGF,0.00,100.00,50.28,31.04,3.60,0.00,2017-12-26,2018-01-01,1
20171226,SGX,0.00,100.00,26.19,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,SHV,0.00,100.00,69.70,20.95,0.00,0.00,2017-12-26,2018-01-01,1
20171226,SJT,32.72,67.28,31.69,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,SJU,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,SLC,14.23,85.77,53.26,14.84,0.00,0.00,2017-12-26,2018-01-01,1
20171226,STO,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,TAE,2.63,97.37,91.16,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,TBW,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,TFX,29.44,70.56,47.13,24.31,5.11,0.00,2017-12-26,2018-01-01,1
20171226,TOP,0.00,100.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171226,TSA,0.00,100.00,68.13,31.77,0.00,0.00,2017-12-26,2018-01-01,1
20171226,TWC,0.00,100.00,100.00,8.89,0.00,0.00,2017-12-26,2018-01-01,1
20171226,UNR,14.41,85.59,67.35,31.33,10.98,0.00,2017-12-26,2018-01-01,1
20171226,VEF,13.64,86.36,28.30,1.18,0.00,0.00,2017-12-26,2018-01-01,1
20171219,ABQ,2.20,97.80,19.78,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171219,ABR,13.08,86.92,47.92,4.44,0.00,0.00,2017-12-19,2017-12-25,1
20171219,AFC,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171219,AFG,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171219,AJK,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,1
