MapDate,WeatherForecastOffice,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20101228,ABQ,8.51,91.49,18.21,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,ABR,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,AFC,48.33,51.67,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,AFG,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,AJK,23.90,76.10,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,AKQ,77.72,22.28,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,ALY,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,AMA,70.19,29.81,11.19,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,APX,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,ARX,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BGM,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BIS,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BMX,31.84,68.16,43.95,19.61,3.32,0.00,2010-12-28,2011-01-03,1
20101228,BOI,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BOU,16.68,83.32,70.35,0.23,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BOX,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BRO,0.00,100.00,99.83,45.18,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BTV,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BUF,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,BYZ,98.69,1.31,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,CAE,0.00,100.00,69.50,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,CAR,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,CHS,0.05,99.95,59.28,23.34,5.66,0.00,2010-12-28,2011-01-03,1
20101228,CLE,96.41,3.59,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,CRP,0.00,100.00,60.88,35.14,1.97,0.00,2010-12-28,2011-01-03,1
20101228,CTP,99.33,0.67,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,CYS,52.71,47.29,21.89,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,DDC,9.80,90.20,61.02,4.95,0.00,0.00,2010-12-28,2011-01-03,1
20101228,DLH,88.09,11.91,4.40,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,DMX,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,DTX,97.07,2.93,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,DVN,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,EAX,67.63,32.37,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,EKA,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,EPZ,0.00,100.00,100.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,EWX,0.00,100.00,97.29,76.55,27.70,0.00,2010-12-28,2011-01-03,1
20101228,FFC,2.39,97.61,78.67,11.32,0.00,0.00,2010-12-28,2011-01-03,1
20101228,FGF,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,FGZ,37.91,62.09,15.69,0.00,0.00,0.00,2010-12-28,2011-01-03,1
20101228,FSD,100.00,0.00,0.00,0.00,0.00,0.00,2010-12-28,2011-01-03,1
