MapDate,WeatherForecastOffice,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20021231,ABQ,8.12,91.88,69.38,21.21,4.28,0.00,2002-12-31,2003-01-06,1
20021231,ABR,24.15,75.85,51.25,33.12,11.81,0.00,2002-12-31,2003-01-06,1
20021231,AFC,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,AFG,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,AJK,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,AKQ,73.97,26.03,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,ALY,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,AMA,82.83,17.17,1.02,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,APX,10.15,89.85,64.69,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,ARX,87.86,12.14,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,BGM,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,BIS,0.36,99.64,45.43,18.86,2.63,0.00,2002-12-31,2003-01-06,1
20021231,BMX,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,BOI,0.00,100.00,100.00,97.96,0.54,0.00,2002-12-31,2003-01-06,1
20021231,BOU,0.00,100.00,100.00,100.00,38.11,0.00,2002-12-31,2003-01-06,1
20021231,BOX,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,BRO,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,BTV,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,BUF,88.88,11.12,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,BYZ,0.00,100.00,100.00,100.00,88.44,0.00,2002-12-31,2003-01-06,1
20021231,CAE,15.16,84.84,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,CAR,43.42,56.58,24.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,CHS,34.53,65.47,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,CLE,5.48,94.52,8.95,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,CRP,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,CTP,97.16,2.84,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,CYS,0.00,100.00,100.00,100.00,98.73,0.03,2002-12-31,2003-01-06,1
20021231,DDC,47.26,52.74,31.13,18.03,0.00,0.00,2002-12-31,2003-01-06,1
20021231,DLH,41.78,58.22,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,DMX,41.39,58.61,33.42,1.26,0.00,0.00,2002-12-31,2003-01-06,1
20021231,DTX,0.00,100.00,100.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,DVN,1.46,98.54,65.33,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,EAX,0.00,100.00,100.00,76.32,26.05,0.00,2002-12-31,2003-01-06,1
20021231,EKA,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,EPZ,0.00,100.00,99.71,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,EWX,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,FFC,76.56,23.44,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,FGF,74.28,25.72,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,FGZ,0.00,100.00,100.00,95.70,78.25,26.81,2002-12-31,2003-01-06,1
20021231,FSD,64.90,35.10,8.54,3.57,0.06,0.00,2002-12-31,2003-01-06,1
20021231,FWD,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,GGW,0.00,100.00,79.00,44.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,GID,0.00,100.00,100.00,97.55,50.47,7.10,2002-12-31,2003-01-06,1
20021231,GJT,0.00,100.00,100.00,100.00,89.13,1.06,2002-12-31,2003-01-06,1
20021231,GLD,0.00,100.00,100.00,100.00,22.37,1.22,2002-12-31,2003-01-06,1
20021231,GRB,97.49,2.51,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,GRR,0.00,100.00,72.65,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,GSP,72.12,27.88,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,GYX,94.28,5.72,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,HFO,59.50,40.50,5.75,0.00,0.00,0.00,2002-12-31,2003-01-06,1
20021231,HGX,100.00,0.00,0.00,0.00,0.00,0.00,2002-12-31,2003-01-06,1
