torwatch,torwarn,weightfactor,lang
NA,3,0.490037,English
2,NA,0.579645,English
2,NA,0.614028,English
2,NA,0.614028,English
1,NA,0.915249,English
NA,2,2.537011,English
2,NA,0.067523,English
2,NA,1.069742,English
NA,2,0.287694,English
NA,2,0.391271,English
1,NA,0.083998,English
2,NA,0.287694,English
NA,NA,0.606347,English
NA,2,1.001785,English
NA,2,0.38908,English
1,NA,0.360774,English
NA,2,2.121495,English
NA,1,0.762157,English
NA,1,0.055217,English
1,NA,0.641627,English
NA,2,0.094918,English
NA,1,0.614028,English
NA,2,0.796323,English
NA,3,0.535257,English
1,NA,0.717276,English
1,NA,0.659205,English
1,NA,0.549405,English
NA,2,0.35912,English
NA,3,0.138597,English
NA,2,0.35912,English
NA,1,0.523124,English
1,NA,1.029819,English
NA,1,0.539852,English
1,NA,0.399902,English
NA,2,0.554093,English
NA,1,1.263585,English
1,NA,0.025619,English
NA,2,0.331113,English
NA,2,0.990728,English
NA,2,1.657287,English
1,NA,0.02079,English
NA,2,2.813104,English
2,NA,0.34857,English
2,NA,1.029819,English
NA,2,0.02079,English
2,NA,0.34857,English
1,NA,0.206933,English
NA,2,0.331113,English
2,NA,2.537011,English
3,NA,0.187208,English
1,NA,0.187208,English
NA,2,1.148625,English
NA,2,1.356713,English
1,NA,0.442304,English
NA,1,0.873831,English
2,NA,0.346351,English
2,NA,0.297874,English
NA,2,2.352793,English
NA,2,1.001785,English
NA,2,0.614028,English
NA,3,0.469005,English
NA,3,0.027054,English
NA,2,1.49461,English
NA,2,0.331113,English
1,NA,0.411644,English
1,NA,0.126906,English
1,NA,0.523124,English
NA,NA,4.076858,English
1,NA,1.999841,English
1,NA,0.065939,English
2,NA,0.754977,English
NA,2,0.783518,English
3,NA,0.391271,English
NA,2,0.661991,English
1,NA,1.642066,English
1,NA,0.098868,English
1,NA,0.408464,English
NA,2,0.075598,English
1,NA,0.641627,English
NA,2,0.331113,English
1,NA,1.359075,English
2,NA,0.349729,English
NA,2,0.075598,English
NA,2,0.360774,English
NA,2,0.103328,English
NA,2,0.206933,English
1,NA,0.728055,English
2,NA,0.088047,English
